"产物中文名","产物ID","内容类型","分类证据","分类置信度","是否可食用","饥饿值","饱和度","效果","有效配方数","无效/JAR候选配方数","有效配方ID列表","未加载配方ID列表","序列化类型列表","来源模组","建议厨师档次","建议依据","T3证据","冲突说明","人工复审备注"
"Vegetable Omelet","brewinandchewin:vegetable_omelet","DISH","cooking_device=farmersdelight:cooking;food_component","HIGH","是","12","19.2","effect.farmersdelight.nourishment 3600tick 1级 概率1","1","0","brewinandchewin:cooking/vegetable_omelet","","farmersdelight:cooking","Brewin' and Chewin'","T2","设备或复杂度：type=farmersdelight:cooking;kinds=5","","",""
"Vodka","brewinandchewin:vodka","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","0","0","effect.brewinandchewin.tipsy 3600tick 1级 概率1；effect.brewinandchewin.intoxication 3000tick 1级 概率1","2","0","brewinandchewin:fermenting/vodka_from_water | brewinandchewin:pouring/vodka","","brewinandchewin:fermenting | brewinandchewin:keg_pouring","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Withering Dross","brewinandchewin:withering_dross","DRINK","recipe_type=brewinandchewin:fermenting","HIGH","是","0","0","effect.brewinandchewin.tipsy 3600tick 3级 概率1；effect.brewinandchewin.intoxication 3000tick 1级 概率1；effect.minecraft.blindness 200tick 1级 概率1；effect.minecraft.weakness 3000tick 1级 概率1；effect.minecraft.slowness 3000tick 1级 概率1；effect.minecraft.wither 1200tick 1级 概率1","2","0","brewinandchewin:fermenting/withering_dross_from_salty_folly | brewinandchewin:pouring/withering_dross","","brewinandchewin:fermenting | brewinandchewin:keg_pouring","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Builder's Tea","create:builders_tea","DRINK","recipe_type=brewinandchewin:keg_pouring","HIGH","是","1","1.2","effect.minecraft.haste 3600tick 1级 概率1","1","0","brewinandchewin:pouring/create/builders_tea","","brewinandchewin:keg_pouring","Brewin' and Chewin'","不进入厨师","内容类型=DRINK","","",""
"Amethyst Rock Candy","dungeonsdelight:amethyst_rock_candy","DISH","cooking_device=farmersdelight:cooking;food_component","HIGH","是","4","4","effect.minecraft.strength 1800tick 1级 概率0.699999988079071","1","0","dungeonsdelight:cooking/amethyst_rock_candy","","farmersdelight:cooking","Dungeon's Delight","T2","设备或复杂度：type=farmersdelight:cooking;kinds=3","","",""
"Au Rotten Potatoes","dungeonsdelight:au_rotten_potatoes","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","6","6","effect.dungeonsdelight.tenacity 1800tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/au_rotten_potatoes","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=3","","",""
"Bloated Baked Potato","dungeonsdelight:bloated_baked_potato","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","4","3.2","","1","0","dungeonsdelight:monster_cooking/bloated_baked_potato","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","正餐/甜点名称","","",""
"Bloody Mary","dungeonsdelight:bloody_mary","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","0","0","effect.dungeonsdelight.burrow_gut 3600tick 2级 概率1","1","0","dungeonsdelight:monster_cooking/bloody_mary","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=3","","",""
"Brains in a Brick","dungeonsdelight:brains_in_a_brick","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","5","4","effect.dungeonsdelight.tenacity 1800tick 1级 概率1；effect.dungeonsdelight.voracity 1800tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/brains_in_a_brick","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=2","","",""
"Breeze Cream Cone","dungeonsdelight:breeze_cream_cone","DISH","explicit_dish_allowlist","HIGH","是","5","6","effect.dungeonsdelight.swift_step 1800tick 2级 概率1","1","0","dungeonsdelight:monster_cooking/breeze_cream_cone","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","正餐/甜点名称","","",""
"Bubblegunk","dungeonsdelight:bubblegunk","DISH","manual_override;可食用成品小吃；饥饿0但成品；非关键中间料","HIGH","是","0","0","","1","0","dungeonsdelight:bubblegunk_from_shapeless","","minecraft:crafting_shapeless","Dungeon's Delight","COMMON","可食用成品小吃；饥饿0但成品；非关键中间料","","","边界→COMMON小吃"
"Chicken Jockey Sandwich","dungeonsdelight:chicken_jockey_sandwich","DISH","dish_token;edible=true;type=dungeonsdelight:monster_cooking","HIGH","是","7","9.8","","1","0","dungeonsdelight:monster_cooking/chicken_jockey_sandwich","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","正餐/甜点名称","","",""
"Chiseled Stained Scrap","dungeonsdelight:chiseled_stained_scrap","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","2","dungeonsdelight:chiseled_stained_scrap","minecraft:chiseled_stained_scrap_from_cut_stained_scrap_stonecutting | minecraft:chiseled_stained_scrap_from_stained_scrap_block_stonecutting","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Chloropasta","dungeonsdelight:chloropasta","DISH","cooking_device=farmersdelight:cooking;food_component","HIGH","是","12","19.2","effect.farmersdelight.nourishment 2400tick 1级 概率1；effect.minecraft.regeneration 120tick 2级 概率0.5","1","0","dungeonsdelight:cooking/chloropasta","","farmersdelight:cooking","Dungeon's Delight","T2","正餐/甜点名称","","",""
"Cleaved Ancient Egg","dungeonsdelight:cleaved_ancient_egg","INGREDIENT","manual_override;切割中间产物","HIGH","是","2","1.6","","1","0","dungeonsdelight:cutting/ancient_egg","","farmersdelight:cutting","Dungeon's Delight","不进入厨师","切割中间产物","","","保持INGREDIENT"
"Cob n' Candy","dungeonsdelight:cob_n_candy","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","4","3.2","effect.dungeonsdelight.decisive 900tick 1级 概率1；effect.dungeonsdelight.pouncing 900tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/cob_n_candy","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=2","","",""
"Cooked Sniffer Shank","dungeonsdelight:cooked_sniffer_shank","DISH","cooking_device=minecraft:campfire_cooking;food_component","HIGH","是","8","12.8","","3","0","dungeonsdelight:cooked_sniffer_shank_from_campfire | dungeonsdelight:cooked_sniffer_shank_from_smelting | dungeonsdelight:cooked_sniffer_shank_from_smoking","","minecraft:campfire_cooking | minecraft:smelting | minecraft:smoking","Dungeon's Delight","COMMON","基础熟食或少量常见原料/单步合成","","",""
"Cooked Snifferwurst","dungeonsdelight:cooked_snifferwurst","DISH","cooking_device=minecraft:campfire_cooking;food_component","HIGH","是","10","16","","3","0","dungeonsdelight:cooked_snifferwurst_from_campfire | dungeonsdelight:cooked_snifferwurst_from_smelting | dungeonsdelight:cooked_snifferwurst_from_smoking","","minecraft:campfire_cooking | minecraft:smelting | minecraft:smoking","Dungeon's Delight","COMMON","基础熟食或少量常见原料/单步合成","","",""
"Creeperilla Squib","dungeonsdelight:creeperilla_squib","INGREDIENT","manual_override;切割中间产物","HIGH","是","1","0.4","","1","0","dungeonsdelight:cutting/creeperilla","","farmersdelight:cutting","Dungeon's Delight","不进入厨师","切割中间产物","","","保持INGREDIENT"
"Croak Monster","dungeonsdelight:croak_monster","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","8","16","","1","0","dungeonsdelight:monster_cooking/croak_monster","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=5","","",""
"Cut Stained Scrap","dungeonsdelight:cut_stained_scrap","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","1","dungeonsdelight:cut_stained_scrap","minecraft:cut_stained_scrap_from_stained_scrap_block_stonecutting","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Cut Stained Scrap Slab","dungeonsdelight:cut_stained_scrap_slab","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","1","dungeonsdelight:cut_stained_scrap_slab","minecraft:cut_stained_scrap_slab_from_cut_stained_scrap_stonecutting","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Cut Stained Scrap Stairs","dungeonsdelight:cut_stained_scrap_stairs","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","1","dungeonsdelight:cut_stained_scrap_stairs","minecraft:cut_stained_scrap_stairs_from_cut_stained_scrap_stonecutting","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Devilish Eggs","dungeonsdelight:devilish_eggs","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","6","8.4","","1","0","dungeonsdelight:monster_cooking/devilish_eggs","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=2","","",""
"Diamond Cleaver","dungeonsdelight:diamond_cleaver","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","dungeonsdelight:diamond_cleaver","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Dungeon Stove","dungeonsdelight:dungeon_stove","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","dungeonsdelight:dungeon_stove","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Echo Rock Candy","dungeonsdelight:echo_rock_candy","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","8","12.8","effect.minecraft.strength 900tick 2级 概率1","1","0","dungeonsdelight:monster_cooking/echo_rock_candy","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=3","","",""
"Embedded Eggs","dungeonsdelight:embedded_eggs","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","dungeonsdelight:embedded_eggs","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Flint Cleaver","dungeonsdelight:flint_cleaver","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","dungeonsdelight:flint_cleaver","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Fried Ghast Calamari","dungeonsdelight:fried_ghast_calamari","DISH","cooking_device=minecraft:campfire_cooking;food_component","HIGH","是","4","4.8","","3","0","dungeonsdelight:fried_ghast_calamari_from_campfire | dungeonsdelight:fried_ghast_calamari_from_smelting | dungeonsdelight:fried_ghast_calamari_from_smoking","","minecraft:campfire_cooking | minecraft:smelting | minecraft:smoking","Dungeon's Delight","COMMON","基础熟食或少量常见原料/单步合成","","",""
"Gelled Salad","dungeonsdelight:gelled_salad","DISH","dish_token;edible=true;type=dungeonsdelight:monster_cooking","HIGH","是","8","9.6","effect.dungeonsdelight.tenacity 2400tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/gelled_salad","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","正餐/甜点名称","","",""
"Ghast Calamari","dungeonsdelight:ghast_calamari","INGREDIENT","manual_override;切割中间产物","HIGH","是","2","1.2","","1","0","dungeonsdelight:cutting/ghast_tentacle","","farmersdelight:cutting","Dungeon's Delight","不进入厨师","切割中间产物","","","保持INGREDIENT"
"Ghast Roll","dungeonsdelight:ghast_roll","DISH","dish_token;edible=true;type=dungeonsdelight:monster_cooking","HIGH","是","6","7.2000003","effect.dungeonsdelight.rotgut 2400tick 2级 概率1","1","0","dungeonsdelight:monster_cooking/ghast_roll","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","正餐/甜点名称","","",""
"Ghastly Spirits","dungeonsdelight:ghastly_spirits","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","0","0","effect.minecraft.levitation 300tick 1级 概率1；effect.minecraft.regeneration 240tick 3级 概率1；effect.minecraft.slow_falling 400tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/ghastly_spirits","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=5","","",""
"Ghoulash","dungeonsdelight:ghoulash","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","8","9.6","effect.dungeonsdelight.voracity 4800tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/ghoulash","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=3","","",""
"Golden Cleaver","dungeonsdelight:golden_cleaver","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","dungeonsdelight:golden_cleaver","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Guardian Angel","dungeonsdelight:guardian_angel_block","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","dungeonsdelight:monster_cooking/guardian_angel_block","","dungeonsdelight:monster_cooking","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Gunk","dungeonsdelight:gunk","INGREDIENT","ingredient_process=farmersdelight:cutting","MEDIUM","否","","","","2","0","dungeonsdelight:cutting/rotbulb | dungeonsdelight:cutting/rotbulb_plant","","farmersdelight:cutting","Dungeon's Delight","不进入厨师","内容类型=INGREDIENT","","",""
"Gunk Arrow","dungeonsdelight:gunk_arrow","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","dungeonsdelight:gunk_arrow","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Gyudon","dungeonsdelight:gyudon","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","9","12.599999","effect.dungeonsdelight.voracity 3600tick 2级 概率1；effect.minecraft.fire_resistance 1800tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/gyudon","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=5","","",""
"Haggis","dungeonsdelight:haggis","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","10","14","","1","0","dungeonsdelight:monster_cooking/haggis","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=3","","",""
"Iron Cleaver","dungeonsdelight:iron_cleaver","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","dungeonsdelight:iron_cleaver","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Jelly Beans","dungeonsdelight:jelly_beans","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","2","0.4","","1","0","dungeonsdelight:monster_cooking/jelly_beans","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=3","","",""
"Living Campfire","dungeonsdelight:living_campfire","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","dungeonsdelight:living_campfire","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Living Candle","dungeonsdelight:living_candle","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","dungeonsdelight:living_candle","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Living Jack o'Lantern","dungeonsdelight:living_jack_o_lantern","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","dungeonsdelight:living_jack_o_lantern","","minecraft:crafting_shapeless","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Living Lantern","dungeonsdelight:living_lantern","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","dungeonsdelight:living_lantern","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Living Torch","dungeonsdelight:living_torch","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","dungeonsdelight:living_torch","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Malicious Sandwich","dungeonsdelight:malicious_sandwich","DISH","dish_token;edible=true;type=dungeonsdelight:monster_cooking","HIGH","是","9","16.199999","","1","0","dungeonsdelight:monster_cooking/malicious_sandwich","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","正餐/甜点名称","","",""
"Marshbellow","dungeonsdelight:marshbellow","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","4","3.2","effect.dungeonsdelight.swift_step 1800tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/marshbellow","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=2","","",""
"Monster Burger","dungeonsdelight:monster_burger","DISH","dish_token;edible=true;type=dungeonsdelight:monster_cooking","HIGH","是","20","40","effect.dungeonsdelight.tenacity 30tick 1级 概率1；effect.dungeonsdelight.burrow_gut 30tick 1级 概率1；effect.dungeonsdelight.decisive 30tick 1级 概率1；effect.dungeonsdelight.exudation 30tick 1级 概率1；effect.dungeonsdelight.pouncing 30tick 1级 概率1；effect.dungeonsdelight.voracity 30tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/monster_burger","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","正餐/甜点名称","","",""
"Monster Cake","dungeonsdelight:monster_cake","SERVING_DISH","manual_override;可放置蛋糕类；无FOOD","HIGH","否","","","","1","1","dungeonsdelight:monster_cake","minecraft:monster_cake_from_slices","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","可放置蛋糕类；无FOOD","","","整盘蛋糕"
"Slice of Monster Cake","dungeonsdelight:monster_cake_slice","DISH","dish_token;edible=true;type=farmersdelight:cutting","HIGH","是","3","3","effect.dungeonsdelight.exudation 2400tick 2级 概率1；effect.dungeonsdelight.pouncing 1200tick 2级 概率1","1","0","dungeonsdelight:cutting/monster_cake","","farmersdelight:cutting","Dungeon's Delight","T2","正餐/甜点名称","","",""
"Monster Mousse","dungeonsdelight:monster_mousse_block","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","dungeonsdelight:monster_cooking/monster_mousse_block","","dungeonsdelight:monster_cooking","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Monster Muffin","dungeonsdelight:monster_muffin","DISH","dish_token;edible=true;type=dungeonsdelight:monster_cooking","HIGH","是","5","5","effect.dungeonsdelight.exudation 2400tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/monster_muffin","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","正餐/甜点名称","","",""
"Monster Pot","dungeonsdelight:monster_pot","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","dungeonsdelight:monster_pot","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Necronog","dungeonsdelight:necronog","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","0","0","","1","0","dungeonsdelight:monster_cooking/necronog","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=5","","",""
"Ossobuco","dungeonsdelight:ossobuco_block","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","dungeonsdelight:monster_cooking/ossobuco_block","","dungeonsdelight:monster_cooking","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Poi","dungeonsdelight:poi","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","6","6","effect.dungeonsdelight.tenacity 3600tick 1级 概率1；effect.dungeonsdelight.exudation 6000tick 1级 概率1","2","0","dungeonsdelight:monster_cooking/poi | dungeonsdelight:poi","","dungeonsdelight:monster_cooking | minecraft:crafting_shapeless","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=1","","",""
"Poisonous Poutine","dungeonsdelight:poisonous_poutine","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","8","11.2","effect.dungeonsdelight.voracity 2400tick 1级 概率1；effect.dungeonsdelight.pouncing 3600tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/poisonous_poutine","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=3","","",""
"Polterghast Pizza","dungeonsdelight:polterghast_pizza","SERVING_DISH","manual_override;PolterghastPizzaBlock整盘分食；无FOOD","HIGH","否","","","","1","0","dungeonsdelight:monster_cooking/polterghast_pizza","","dungeonsdelight:monster_cooking","Dungeon's Delight","不进入厨师","PolterghastPizzaBlock整盘分食；无FOOD","","","整盘披萨"
"Putrid Spice Latte","dungeonsdelight:putrid_spice_latte","DRINK","drink_token=putrid_spice_latte","HIGH","是","0","0","effect.dungeonsdelight.rotgut 3000tick 3级 概率1","1","0","dungeonsdelight:monster_cooking/putrid_spice_latte","","dungeonsdelight:monster_cooking","Dungeon's Delight","不进入厨师","内容类型=DRINK","","",""
"Rancid Reduction","dungeonsdelight:rancid_reduction","NON_FOOD","not_edible","MEDIUM","否","","","","2","0","dungeonsdelight:monster_cooking/rancid_reduction_from_rotbulb | dungeonsdelight:monster_cooking/rotgourd_slice_from_rotgourd_slice","","dungeonsdelight:monster_cooking","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Rot and Steel","dungeonsdelight:rot_and_steel","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","dungeonsdelight:rot_and_steel","","minecraft:crafting_shapeless","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Rot Roast","dungeonsdelight:rot_roast","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","6","7.2000003","effect.dungeonsdelight.rotgut 1800tick 2级 概率1；effect.dungeonsdelight.burrow_gut 1800tick 2级 概率1；effect.dungeonsdelight.ravenous_rush 200tick 1级 概率0.75","1","0","dungeonsdelight:monster_cooking/rot_roast","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","正餐/甜点名称","","",""
"Rotbulb","dungeonsdelight:rotbulb","NON_FOOD","not_edible","MEDIUM","否","","","","1","0","dungeonsdelight:rotbulb_from_rotbulb_crate","","minecraft:crafting_shapeless","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Rotgourd Slice","dungeonsdelight:rotgourd_slice","INGREDIENT","manual_override;切割中间产物","HIGH","是","3","1.8000001","","1","0","dungeonsdelight:cutting/rotgourd","","farmersdelight:cutting","Dungeon's Delight","不进入厨师","切割中间产物","","","保持INGREDIENT"
"Rotpop","dungeonsdelight:rotpop","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","4","3.2","effect.dungeonsdelight.rotgut 1800tick 1级 概率1；effect.dungeonsdelight.decisive 1800tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/rotpop","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=1","","",""
"Rotten Tripe","dungeonsdelight:rotten_tripe","INGREDIENT","manual_override;切割中间产物","HIGH","是","2","0.2","effect.minecraft.hunger 200tick 1级 概率0.20000000298023224","2","1","dungeonsdelight:cutting/brined_flesh | dungeonsdelight:cutting/gritty_flesh","minecraft:cutting/rotten_flesh","farmersdelight:cutting","Dungeon's Delight","不进入厨师","切割中间产物","","","保持INGREDIENT"
"Rubaboo","dungeonsdelight:rubaboo","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","5","5","effect.dungeonsdelight.tenacity 600tick 1级 概率1；effect.minecraft.fire_resistance 1200tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/rubaboo","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=2","","",""
"Salt Soaked Stew","dungeonsdelight:salt_soaked_stew","DISH","dish_token;edible=true;type=dungeonsdelight:monster_cooking","HIGH","是","10","16","effect.minecraft.water_breathing 1200tick 1级 概率1；effect.dungeonsdelight.tenacity 3600tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/salt_soaked_stew","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","正餐/甜点名称","","",""
"Sculk Apple","dungeonsdelight:sculk_apple","DISH","manual_override;FOOD nutrition=5 saturation=5; recipe id=dungeonsdelight:sculk_apple (apple+sculk_polyp×2+honey_bottle); 加工特殊料理","HIGH","是","5","5","","1","0","dungeonsdelight:sculk_apple","","minecraft:crafting_shapeless","Dungeon's Delight","T2","FOOD nutrition=5 saturation=5; recipe id=dungeonsdelight:sculk_apple (apple+sculk_polyp×2+honey_bottle); 加工特殊料理","","","Dungeon's Delight;6A.3原REVIEW→DISH T2"
"Sculk Mayo","dungeonsdelight:sculk_mayo","INGREDIENT","manual_override;饥饿1/饱和0.4/虚弱副作用；被devilish_eggs等后续使用；酱料非宴席","HIGH","是","1","0.4","effect.minecraft.weakness 2400tick 1级 概率0.20000000298023224","1","0","dungeonsdelight:monster_cooking/sculk_mayo","","dungeonsdelight:monster_cooking","Dungeon's Delight","不进入厨师","饥饿1/饱和0.4/虚弱副作用；被devilish_eggs等后续使用；酱料非宴席","","","6A.2驳回T3候选"
"Block of Sculk Mayo","dungeonsdelight:sculk_mayo_block","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","dungeonsdelight:sculk_mayo_block","","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Sculk Polyp","dungeonsdelight:sculk_polyp","INGREDIENT","ingredient_process=farmersdelight:cutting","MEDIUM","否","","","","1","2","dungeonsdelight:cutting/sculk_mayo_block","minecraft:cutting/calibrated_sculk_sensor | minecraft:cutting/sculk","farmersdelight:cutting","Dungeon's Delight","不进入厨师","内容类型=INGREDIENT","","",""
"Sculk Tart","dungeonsdelight:sculk_tart","NON_FOOD","not_edible","MEDIUM","否","","","","1","1","dungeonsdelight:sculk_tart","minecraft:sculk_tart_from_slices","minecraft:crafting_shaped","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Slice of Sculk Tart","dungeonsdelight:sculk_tart_slice","INGREDIENT","ingredient_process=farmersdelight:cutting","MEDIUM","是","3","1.8000001","effect.minecraft.speed 600tick 1级 概率1","1","0","dungeonsdelight:cutting/sculk_tart","","farmersdelight:cutting","Dungeon's Delight","不进入厨师","内容类型=INGREDIENT","","",""
"Shiokara","dungeonsdelight:shiokara","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","7","7","effect.dungeonsdelight.tenacity 3600tick 1级 概率1；effect.minecraft.regeneration 140tick 2级 概率1；effect.dungeonsdelight.putrid_scent 140tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/shiokara","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","设备或复杂度：type=dungeonsdelight:monster_cooking;kinds=4","","",""
"Silverfish and Chips","dungeonsdelight:silverfish_and_chips_block","NON_FOOD","non_edible_block_or_tool","HIGH","否","","","","1","0","dungeonsdelight:monster_cooking/silverfish_and_chips_block","","dungeonsdelight:monster_cooking","Dungeon's Delight","不进入厨师","内容类型=NON_FOOD","","",""
"Silverfish Fried Rice","dungeonsdelight:silverfish_fried_rice","DISH","cooking_device=dungeonsdelight:monster_cooking;food_component","HIGH","是","12","21.599998","effect.dungeonsdelight.burrow_gut 3600tick 1级 概率1；effect.dungeonsdelight.tenacity 4800tick 1级 概率1","1","0","dungeonsdelight:monster_cooking/silverfish_fried_rice","","dungeonsdelight:monster_cooking","Dungeon's Delight","T2","正餐/甜点名称","","",""
