模组,配方ID,产物,数量,机器,原料,附加参数,饥饿值,饱和度,效果(buff),UNITE状态,备注
万花筒烹饪,pot/chorus_fruit_to_popped_chorus_fruit_9.json,爆裂紫颂果(minecraft:popped_chorus_fruit),9,炒锅(置于炉灶上),紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit),,,,,原始(统一基准),
万花筒烹饪,pot/beef_to_cooked_beef_1.json,牛排(minecraft:cooked_beef),1,炒锅(置于炉灶上),生牛肉(minecraft:beef),,,,,原始(统一基准),
万花筒烹饪,pot/beef_to_cooked_beef_2.json,牛排(minecraft:cooked_beef),2,炒锅(置于炉灶上),生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),,,,,原始(统一基准),
万花筒烹饪,pot/beef_to_cooked_beef_3.json,牛排(minecraft:cooked_beef),3,炒锅(置于炉灶上),生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),,,,,原始(统一基准),
万花筒烹饪,pot/beef_to_cooked_beef_4.json,牛排(minecraft:cooked_beef),4,炒锅(置于炉灶上),生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),,,,,原始(统一基准),
万花筒烹饪,pot/beef_to_cooked_beef_5.json,牛排(minecraft:cooked_beef),5,炒锅(置于炉灶上),生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),,,,,原始(统一基准),
万花筒烹饪,pot/beef_to_cooked_beef_6.json,牛排(minecraft:cooked_beef),6,炒锅(置于炉灶上),生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),,,,,原始(统一基准),
万花筒烹饪,pot/beef_to_cooked_beef_7.json,牛排(minecraft:cooked_beef),7,炒锅(置于炉灶上),生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),,,,,原始(统一基准),
万花筒烹饪,pot/beef_to_cooked_beef_8.json,牛排(minecraft:cooked_beef),8,炒锅(置于炉灶上),生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),,,,,原始(统一基准),
万花筒烹饪,pot/beef_to_cooked_beef_9.json,牛排(minecraft:cooked_beef),9,炒锅(置于炉灶上),生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),,,,,原始(统一基准),
万花筒烹饪,flex_pot/sticky_candy.json,牛皮糖(kaleidoscope_cookery:sticky_candy),1,炒锅(灵活),皮革(minecraft:leather) + 糖(minecraft:sugar),,6,12.0,,原始(统一基准),
万花筒烹饪,pot/sticky_candy.json,牛皮糖(kaleidoscope_cookery:sticky_candy),1,炒锅(置于炉灶上),皮革(minecraft:leather) + 糖(minecraft:sugar) + 糖(minecraft:sugar) + 糖(minecraft:sugar) + 糖(minecraft:sugar),,6,12.0,,原始(统一基准),
农夫乐事(万花筒机器),pot/add/beef_patty.json,牛肉饼(farmersdelight:beef_patty),1,炒锅(置于炉灶上),牛肉馅(farmersdelight:minced_beef),,4,6.4,,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
万花筒烹饪,flex_pot/sweet_and_sour_ender_pearls.json,珍珠咕噜肉(kaleidoscope_cookery:sweet_and_sour_ender_pearls),1,炒锅(灵活),末影珍珠(minecraft:ender_pearl) + 末影之眼(minecraft:ender_eye),载体:碗(minecraft:bowl),9,0.0,胀气 35秒,原始(统一基准),
万花筒烹饪,pot/sweet_and_sour_ender_pearls.json,珍珠咕噜肉(kaleidoscope_cookery:sweet_and_sour_ender_pearls),1,炒锅(置于炉灶上),末影珍珠(minecraft:ender_pearl) + 末影珍珠(minecraft:ender_pearl) + 末影之眼(minecraft:ender_eye),载体:碗(minecraft:bowl),9,0.0,胀气 35秒,原始(统一基准),
万花筒烹饪,flex_pot/scramble_egg_with_tomatoes.json,番茄炒蛋(kaleidoscope_cookery:scramble_egg_with_tomatoes),1,炒锅(灵活),蛋(#c:eggs) + 番茄(#c:crops/tomato),载体:碗(minecraft:bowl),9,11.0,活力 1分30秒,原始(统一基准),
万花筒烹饪,pot/scramble_egg_with_tomatoes.json,番茄炒蛋(kaleidoscope_cookery:scramble_egg_with_tomatoes),1,炒锅(置于炉灶上),蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 番茄(#c:crops/tomato) + 番茄(#c:crops/tomato) + 番茄(#c:crops/tomato),载体:碗(minecraft:bowl),9,11.0,活力 1分30秒,原始(统一基准),
万花筒烹饪,pot/cooked_rice_to_sticky_rice_cake_1.json,糍粑(kaleidoscope_cookery:sticky_rice_cake),1,炒锅(置于炉灶上),米饭(kaleidoscope_cookery:cooked_rice),,8,14.0,,原始(统一基准),
万花筒烹饪,pot/cooked_rice_to_sticky_rice_cake_2.json,糍粑(kaleidoscope_cookery:sticky_rice_cake),2,炒锅(置于炉灶上),米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),,8,14.0,,原始(统一基准),
万花筒烹饪,pot/cooked_rice_to_sticky_rice_cake_3.json,糍粑(kaleidoscope_cookery:sticky_rice_cake),3,炒锅(置于炉灶上),米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),,8,14.0,,原始(统一基准),
万花筒烹饪,pot/cooked_rice_to_sticky_rice_cake_4.json,糍粑(kaleidoscope_cookery:sticky_rice_cake),4,炒锅(置于炉灶上),米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),,8,14.0,,原始(统一基准),
万花筒烹饪,pot/cooked_rice_to_sticky_rice_cake_5.json,糍粑(kaleidoscope_cookery:sticky_rice_cake),5,炒锅(置于炉灶上),米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),,8,14.0,,原始(统一基准),
万花筒烹饪,pot/cooked_rice_to_sticky_rice_cake_6.json,糍粑(kaleidoscope_cookery:sticky_rice_cake),6,炒锅(置于炉灶上),米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),,8,14.0,,原始(统一基准),
万花筒烹饪,pot/cooked_rice_to_sticky_rice_cake_7.json,糍粑(kaleidoscope_cookery:sticky_rice_cake),7,炒锅(置于炉灶上),米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),,8,14.0,,原始(统一基准),
万花筒烹饪,pot/cooked_rice_to_sticky_rice_cake_8.json,糍粑(kaleidoscope_cookery:sticky_rice_cake),8,炒锅(置于炉灶上),米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),,8,14.0,,原始(统一基准),
万花筒烹饪,pot/cooked_rice_to_sticky_rice_cake_9.json,糍粑(kaleidoscope_cookery:sticky_rice_cake),9,炒锅(置于炉灶上),米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),,8,14.0,,原始(统一基准),
万花筒烹饪,flex_pot/sweet_and_sour_pork.json,糖醋里脊(kaleidoscope_cookery:sweet_and_sour_pork),1,炒锅(灵活),生猪排(#c:foods/raw_pork) + 糖(minecraft:sugar),载体:碗(minecraft:bowl),9,11.0,活力 1分30秒,原始(统一基准),
万花筒烹饪,pot/sweet_and_sour_pork.json,糖醋里脊(kaleidoscope_cookery:sweet_and_sour_pork),1,炒锅(置于炉灶上),糖(minecraft:sugar) + 糖(minecraft:sugar) + 糖(minecraft:sugar) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork),载体:碗(minecraft:bowl),9,11.0,活力 1分30秒,原始(统一基准),
万花筒烹饪,flex_pot/braised_pork_ribs.json,红烧排骨(kaleidoscope_cookery:braised_pork_ribs),1,炒锅(灵活),骨头(minecraft:bone) + 生猪排(#c:foods/raw_pork),载体:碗(minecraft:bowl),16,25.6,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/braised_pork_ribs.json,红烧排骨(kaleidoscope_cookery:braised_pork_ribs),1,炒锅(置于炉灶上),骨头(minecraft:bone) + 骨头(minecraft:bone) + 骨头(minecraft:bone) + 骨头(minecraft:bone) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork),载体:碗(minecraft:bowl),16,25.6,温暖 1分20秒,原始(统一基准),
万花筒烹饪,flex_pot/braised_beef.json,红烧牛肉(kaleidoscope_cookery:braised_beef),1,炒锅(灵活),生牛肉(#c:foods/raw_beef) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl),9,11.0,活力 1分30秒,原始(统一基准),
万花筒烹饪,pot/braised_beef.json,红烧牛肉(kaleidoscope_cookery:braised_beef),1,炒锅(置于炉灶上),生牛肉(#c:foods/raw_beef) + 生牛肉(#c:foods/raw_beef) + 生牛肉(#c:foods/raw_beef) + 红辣椒(kaleidoscope_cookery:red_chili) + 红辣椒(kaleidoscope_cookery:red_chili) + 红辣椒(kaleidoscope_cookery:red_chili),载体:碗(minecraft:bowl),9,11.0,活力 1分30秒,原始(统一基准),
万花筒烹饪,flex_pot/fondant_pie.json,翻糖派(kaleidoscope_cookery:fondant_pie),1,炒锅(灵活),糖(minecraft:sugar) + 南瓜派(minecraft:pumpkin_pie),载体:碗(minecraft:bowl),20,22.0,饱腹代偿 1分20秒,原始(统一基准),
万花筒烹饪,pot/fondant_pie.json,翻糖派(kaleidoscope_cookery:fondant_pie),1,炒锅(置于炉灶上),糖(minecraft:sugar) + 糖(minecraft:sugar) + 糖(minecraft:sugar) + 糖(minecraft:sugar) + 南瓜派(minecraft:pumpkin_pie) + 南瓜派(minecraft:pumpkin_pie) + 南瓜派(minecraft:pumpkin_pie) + 南瓜派(minecraft:pumpkin_pie),载体:碗(minecraft:bowl),20,22.0,饱腹代偿 1分20秒,原始(统一基准),
万花筒烹饪,flex_pot/fondant_spider_eye.json,翻糖蛛眼(kaleidoscope_cookery:fondant_spider_eye),1,炒锅(灵活),糖(minecraft:sugar) + 蜘蛛眼(minecraft:spider_eye),载体:碗(minecraft:bowl),8,0.0,胀气 35秒,原始(统一基准),
万花筒烹饪,pot/fondant_spider_eye.json,翻糖蛛眼(kaleidoscope_cookery:fondant_spider_eye),1,炒锅(置于炉灶上),糖(minecraft:sugar) + 糖(minecraft:sugar) + 糖(minecraft:sugar) + 糖(minecraft:sugar) + 蜘蛛眼(minecraft:spider_eye) + 蜘蛛眼(minecraft:spider_eye) + 蜘蛛眼(minecraft:spider_eye) + 蜘蛛眼(minecraft:spider_eye),载体:碗(minecraft:bowl),8,0.0,胀气 35秒,原始(统一基准),
万花筒烹饪,flex_pot/chorus_fried_egg.json,荷包紫颂烧(kaleidoscope_cookery:chorus_fried_egg),1,炒锅(灵活),蛋(#c:eggs) + 紫颂果(minecraft:chorus_fruit),载体:碗(minecraft:bowl),9,0.0,胀气 35秒,原始(统一基准),
万花筒烹饪,pot/chorus_fried_egg.json,荷包紫颂烧(kaleidoscope_cookery:chorus_fried_egg),1,炒锅(置于炉灶上),紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs),载体:碗(minecraft:bowl),9,0.0,胀气 35秒,原始(统一基准),
万花筒烹饪,flex_pot/stuffed_tiger_skin_pepper.json,虎皮青椒酿肉(kaleidoscope_cookery:stuffed_tiger_skin_pepper),1,炒锅(灵活),青辣椒(kaleidoscope_cookery:green_chili) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),载体:碗(minecraft:bowl),13,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/stuffed_tiger_skin_pepper.json,虎皮青椒酿肉(kaleidoscope_cookery:stuffed_tiger_skin_pepper),1,炒锅(置于炉灶上),青辣椒(kaleidoscope_cookery:green_chili) + 青辣椒(kaleidoscope_cookery:green_chili) + 青辣椒(kaleidoscope_cookery:green_chili) + 青辣椒(kaleidoscope_cookery:green_chili) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),载体:碗(minecraft:bowl),13,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,flex_pot/egg_fried_rice.json,蛋炒饭(kaleidoscope_cookery:egg_fried_rice),1,炒锅(灵活),蛋(#c:eggs) + 熟米饭(#c:foods/cooked_rice),载体:碗(minecraft:bowl),8,14.0,,原始(统一基准),
万花筒烹饪,pot/egg_fried_rice.json,蛋炒饭(kaleidoscope_cookery:egg_fried_rice),1,炒锅(置于炉灶上),蛋(#c:eggs) + 蛋(#c:eggs) + 熟米饭(#c:foods/cooked_rice),载体:碗(minecraft:bowl),8,14.0,,原始(统一基准),
万花筒烹饪,flex_pot/spicy_chicken.json,辣子鸡(kaleidoscope_cookery:spicy_chicken),1,炒锅(灵活),生鸡肉(#c:foods/raw_chicken) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl),20,22.0,饱腹代偿 1分20秒,原始(统一基准),
万花筒烹饪,pot/spicy_chicken.json,辣子鸡(kaleidoscope_cookery:spicy_chicken),1,炒锅(置于炉灶上),生鸡肉(#c:foods/raw_chicken) + 生鸡肉(#c:foods/raw_chicken) + 生鸡肉(#c:foods/raw_chicken) + 生鸡肉(#c:foods/raw_chicken) + 辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl),20,22.0,饱腹代偿 1分20秒,原始(统一基准),
万花筒烹饪,flex_pot/stir_fried_pork_with_peppers.json,青椒炒肉(kaleidoscope_cookery:stir_fried_pork_with_peppers),1,炒锅(灵活),生猪排(#c:foods/raw_pork) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl),9,11.0,活力 1分30秒,原始(统一基准),
万花筒烹饪,pot/stir_fried_pork_with_peppers.json,青椒炒肉(kaleidoscope_cookery:stir_fried_pork_with_peppers),1,炒锅(置于炉灶上),青辣椒(kaleidoscope_cookery:green_chili) + 青辣椒(kaleidoscope_cookery:green_chili) + 青辣椒(kaleidoscope_cookery:green_chili) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork),载体:碗(minecraft:bowl),9,11.0,活力 1分30秒,原始(统一基准),
万花筒烹饪,pot/stuffed_dough_food_to_meat_pie_1.json,馅饼(kaleidoscope_cookery:meat_pie),1,炒锅(置于炉灶上),裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,8,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/stuffed_dough_food_to_meat_pie_2.json,馅饼(kaleidoscope_cookery:meat_pie),2,炒锅(置于炉灶上),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,8,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/stuffed_dough_food_to_meat_pie_3.json,馅饼(kaleidoscope_cookery:meat_pie),3,炒锅(置于炉灶上),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,8,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/stuffed_dough_food_to_meat_pie_4.json,馅饼(kaleidoscope_cookery:meat_pie),4,炒锅(置于炉灶上),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,8,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/stuffed_dough_food_to_meat_pie_5.json,馅饼(kaleidoscope_cookery:meat_pie),5,炒锅(置于炉灶上),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,8,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/stuffed_dough_food_to_meat_pie_6.json,馅饼(kaleidoscope_cookery:meat_pie),6,炒锅(置于炉灶上),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,8,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/stuffed_dough_food_to_meat_pie_7.json,馅饼(kaleidoscope_cookery:meat_pie),7,炒锅(置于炉灶上),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,8,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/stuffed_dough_food_to_meat_pie_8.json,馅饼(kaleidoscope_cookery:meat_pie),8,炒锅(置于炉灶上),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,8,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/stuffed_dough_food_to_meat_pie_9.json,馅饼(kaleidoscope_cookery:meat_pie),9,炒锅(置于炉灶上),裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food) + 裹馅面食(kaleidoscope_cookery:stuffed_dough_food),,8,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,flex_pot/pan_seared_knight_steak.json,香煎骑士牛排(kaleidoscope_cookery:pan_seared_knight_steak),1,炒锅(灵活),甜浆果(minecraft:sweet_berries) + 生牛肉(#c:foods/raw_beef) + 骨头(minecraft:bone),载体:碗(minecraft:bowl),13,16.0,饱腹代偿 1分30秒,原始(统一基准),
万花筒烹饪,pot/pan_seared_knight_steak.json,香煎骑士牛排(kaleidoscope_cookery:pan_seared_knight_steak),1,炒锅(置于炉灶上),骨头(minecraft:bone) + 骨头(minecraft:bone) + 骨头(minecraft:bone) + 甜浆果(minecraft:sweet_berries) + 甜浆果(minecraft:sweet_berries) + 甜浆果(minecraft:sweet_berries) + 生牛肉(#c:foods/raw_beef) + 生牛肉(#c:foods/raw_beef),载体:碗(minecraft:bowl),13,16.0,饱腹代偿 1分30秒,原始(统一基准),
万花筒烹饪,flex_pot/donkey_burger.json,驴肉火烧(kaleidoscope_cookery:donkey_burger),1,炒锅(灵活),辣椒(#c:crops/chilipepper) + 面团(#c:dough) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),,12,19.2,饱腹代偿 45秒,原始(统一基准),
万花筒烹饪,pot/donkey_burger.json,驴肉火烧(kaleidoscope_cookery:donkey_burger),1,炒锅(置于炉灶上),辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper) + 面团(#c:dough) + 面团(#c:dough) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),,12,19.2,饱腹代偿 45秒,原始(统一基准),
万花筒烹饪,flex_pot/fish_flavored_shredded_pork.json,鱼香肉丝(kaleidoscope_cookery:fish_flavored_shredded_pork),1,炒锅(灵活),生猪排(#c:foods/raw_pork) + 辣椒(#c:crops/chilipepper) + 蘑菇(#c:mushrooms),载体:碗(minecraft:bowl),9,11.0,活力 1分30秒,原始(统一基准),
万花筒烹饪,pot/fish_flavored_shredded_pork.json,鱼香肉丝(kaleidoscope_cookery:fish_flavored_shredded_pork),1,炒锅(置于炉灶上),蘑菇(#c:mushrooms) + 蘑菇(#c:mushrooms) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl),9,11.0,活力 1分30秒,原始(统一基准),
万花筒烹饪,flex_pot/spicy_rabbit_head.json,麻辣兔头(kaleidoscope_cookery:spicy_rabbit_head),1,炒锅(灵活),生兔肉(minecraft:rabbit) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl),13,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,pot/spicy_rabbit_head.json,麻辣兔头(kaleidoscope_cookery:spicy_rabbit_head),1,炒锅(置于炉灶上),生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 生兔肉(minecraft:rabbit) + 辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper),载体:碗(minecraft:bowl),13,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,flex_pot/slime_ball_meal.json,黏液饭(kaleidoscope_cookery:slime_ball_meal),1,炒锅(灵活),粘液球(minecraft:slime_ball),载体:碗(minecraft:bowl),9,0.0,胀气 35秒,原始(统一基准),
万花筒烹饪,pot/slime_ball_meal.json,黏液饭(kaleidoscope_cookery:slime_ball_meal),1,炒锅(置于炉灶上),粘液球(minecraft:slime_ball) + 粘液球(minecraft:slime_ball) + 粘液球(minecraft:slime_ball) + 粘液球(minecraft:slime_ball) + 粘液球(minecraft:slime_ball) + 粘液球(minecraft:slime_ball),载体:碗(minecraft:bowl),9,0.0,胀气 35秒,原始(统一基准),
万花筒烹饪,flex_stockpot/udon_noodle.json,乌冬面(kaleidoscope_cookery:udon_noodle),1,汤锅(灵活),生菜(#c:crops/lettuce) + 蛋(#c:eggs) + 生面条(kaleidoscope_cookery:raw_noodles),,14,18.0,生机 8分,原始(统一基准),
万花筒烹饪,stockpot/udon_noodle.json,乌冬面(kaleidoscope_cookery:udon_noodle),1,汤锅(盖盖煮制),生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 蛋(#c:eggs) + 蛋(#c:eggs) + 生面条(kaleidoscope_cookery:raw_noodles) + 生面条(kaleidoscope_cookery:raw_noodles) + 生面条(kaleidoscope_cookery:raw_noodles),,14,18.0,生机 8分,原始(统一基准),
万花筒烹饪,flex_stockpot/buddha_jumps_over_the_wall.json,佛跳墙(kaleidoscope_cookery:buddha_jumps_over_the_wall),1,汤锅(灵活),蛋(#c:eggs) + 幻翼膜(minecraft:phantom_membrane) + 生菜(#c:crops/lettuce),载体:花盆(minecraft:flower_pot),20,22.0,饱腹代偿 3分,原始(统一基准),
万花筒烹饪,stockpot/buddha_jumps_over_the_wall.json,佛跳墙(kaleidoscope_cookery:buddha_jumps_over_the_wall),1,汤锅(盖盖煮制),蛋(#c:eggs) + 蛋(#c:eggs) + 幻翼膜(minecraft:phantom_membrane) + 幻翼膜(minecraft:phantom_membrane) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce) + 生菜(#c:crops/lettuce),载体:花盆(minecraft:flower_pot),20,22.0,饱腹代偿 3分,原始(统一基准),
农夫乐事(万花筒机器),stockpot/modify/pumpkin_soup.json,南瓜汤(farmersdelight:pumpkin_soup),1,汤锅(盖盖煮制),南瓜片(farmersdelight:pumpkin_slice) + 绿叶菜(#c:foods/leafy_green) + 生猪排(#c:foods/raw_pork),,14,21.0,营养 5分,新增(万花筒机器),用万花筒机器制作农夫乐事菜品
万花筒烹饪,flex_stockpot/four_joy_meatball_soup.json,四喜丸子汤(kaleidoscope_cookery:four_joy_meatball_soup),1,汤锅(灵活),生丸子(kaleidoscope_cookery:raw_meatball),,13,16.0,温暖 1分20秒,原始(统一基准),
万花筒烹饪,stockpot/four_joy_meatball_soup.json,四喜丸子汤(kaleidoscope_cookery:four_joy_meatball_soup),1,汤锅(盖盖煮制),生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball) + 生丸子(kaleidoscope_cookery:raw_meatball),,13,16.0,温暖 1分20秒,原始(统一基准),
