"dependencyId","dependencyKind","occurrenceRows","affectedTargetCount","affectedTargetIds","affectedTiers","currentPrice","currentPriceSource","priceConfidence","containerDecision","suggestedPrice","suggestedPriceEvidence","economicRisk","decision"
"#dungeonsdelight:ancient_flora","TAG","8","5","dungeonsdelight:chloropasta;dungeonsdelight:cooked_snifferwurst;dungeonsdelight:sinigang;dungeonsdelight:snifferwurst;dungeonsdelight:snuffledog","COMMON;T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#dungeonsdelight:extracts","TAG","11","6","dungeonsdelight:devilish_eggs;dungeonsdelight:jelly_beans;dungeonsdelight:malicious_sandwich;dungeonsdelight:monster_burger;dungeonsdelight:sculk_apple;dungeonsdelight:takoyaki","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#dungeonsdelight:fleshes","TAG","11","7","dungeonsdelight:brains_in_a_brick;dungeonsdelight:chicken_jockey_sandwich;dungeonsdelight:croak_monster;dungeonsdelight:ghoulash;dungeonsdelight:haggis;dungeonsdelight:malicious_sandwich;dungeonsdelight:monster_burger","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#dungeonsdelight:monster_foods","TAG","1","1","dungeonsdelight:rot_roast","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#dungeonsdelight:raw_ghast","TAG","6","4","dungeonsdelight:ghast_roll;dungeonsdelight:ghastly_spirits;dungeonsdelight:shiokara;dungeonsdelight:takoyaki","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#dungeonsdelight:rubaboo_ingredients","TAG","1","1","dungeonsdelight:rubaboo","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#dungeonsdelight:sculk_cheese","TAG","10","7","dungeonsdelight:au_rotten_potatoes;dungeonsdelight:bloated_baked_potato;dungeonsdelight:croak_monster;dungeonsdelight:gyudon;dungeonsdelight:malicious_sandwich;dungeonsdelight:monster_burger;dungeonsdelight:poisonous_poutine","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#dungeonsdelight:sea_plants","TAG","2","1","dungeonsdelight:soaked_skewer","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#dungeonsdelight:slime_balls","TAG","28","14","dungeonsdelight:breeze_cream_cone;dungeonsdelight:chloropasta;dungeonsdelight:cooked_snifferwurst;dungeonsdelight:gelled_salad;dungeonsdelight:ghoulash;dungeonsdelight:marshbellow;dungeonsdelight:monster_burger;dungeonsdelight:slime_bar;dungeonsdelight:slime_noodles;dungeonsdelight:snifferwurst;dungeonsdelight:snuffledog;dungeonsdelight:terrine_loaf;dungeonsdelight:trial_freakshake;dungeonsdelight:wispy_rice_ball","COMMON;T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#minecraft:fox_food","TAG","1","1","bakeries:berry_bagel","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#minecraft:planks","TAG","2","2","dungeonsdelight:bloated_baked_potato;dungeonsdelight:shiokara","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#mynethersdelight:boiled_egg_candidate","TAG","7","1","mynethersdelight:boiled_egg","COMMON","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#mynethersdelight:hoglin_cure","TAG","2","2","dungeonsdelight:bloated_baked_potato;dungeonsdelight:shiokara","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#mynethersdelight:hoglin_waxed","TAG","2","2","dungeonsdelight:bloated_baked_potato;dungeonsdelight:shiokara","T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
"#mynethersdelight:hot_spice","TAG","9","9","mynethersdelight:chilidog;mynethersdelight:deviled_egg;mynethersdelight:hot_cream_cone;mynethersdelight:hot_wings;mynethersdelight:hot_wings_bucket;mynethersdelight:magma_cake_slice;mynethersdelight:spicy_cotton;mynethersdelight:spicy_curry;mynethersdelight:spicy_noodle_soup","COMMON;T2","","","REVIEW","","","","TAG 无成员价格证据，不得伪装为已验证具体物品","REVIEW"
