"itemId","档次","静态候选配方ID","设备","输出数量","整份原料成本","单件原料成本","难度系数","buff系数","common系数","建议unitWorth","runtimeStatus","runtimeVerified","staticEvidence","来源JAR","recipe JSON路径","原料选择","容器决策","证据链","风险","REVIEW原因"
"dungeonsdelight:monster_muffin","T2","dungeonsdelight:monster_cooking/monster_muffin","怪物烹饪锅","2","","","1.65","REVIEW","1","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/monster_cooking/monster_muffin.json","dungeonsdelight:rotbulb×1 + minecraft:sugar×1","NONE","dungeonsdelight:monster_muffin <- recipe=dungeonsdelight:monster_cooking/monster_muffin;type=dungeonsdelight:monster_cooking;output=2;choices=dungeonsdelight:rotbulb×1 + minecraft:sugar×1;container=NONE -> dungeonsdelight:rotbulb <- recipe=dungeonsdelight:rotbulb_from_rotbulb_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:rotbulb_crate×1;container=NONE -> dungeonsdelight:rotbulb_crate <- recipe=minecraft:rotbulb_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义)","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;UNKNOWN_BUFF","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;UNKNOWN_BUFF"
"dungeonsdelight:necronog","T2","dungeonsdelight:monster_cooking/necronog","怪物烹饪锅","1","","","1.65","1","1","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/monster_cooking/necronog.json","#c:drinks/milk×1 + minecraft:sugar×1 + dungeonsdelight:slicorice×1","PART_OF_RESULT:minecraft:glass_bottle=2","dungeonsdelight:necronog <- recipe=dungeonsdelight:monster_cooking/necronog;type=dungeonsdelight:monster_cooking;output=1;choices=#c:drinks/milk×1 + minecraft:sugar×1 + dungeonsdelight:slicorice×1;container=PART_OF_RESULT:minecraft:glass_bottle=2 -> #c:drinks/milk=6(猜想) -> minecraft:sugar=4(已定义) -> dungeonsdelight:slicorice <- recipe=dungeonsdelight:slicorice;type=minecraft:crafting_shapeless;output=1;choices=dungeonsdelight:wormroot_tendrils×1 + minecraft:sugar×1 + minecraft:slime_ball×1;container=NONE -> dungeonsdelight:wormroot_tendrils <- recipe=dungeonsdelight:cutting/gunk;type=farmersdelight:cutting;output=1;choices=dungeonsdelight:gunk×1;container=NONE -> dungeonsdelight:gunk <- recipe=dungeonsdelight:cutting/rotbulb;type=farmersdelight:cutting;output=2;choices=dungeonsdelight:rotbulb×1;container=NONE -> dungeonsdelight:rotbulb <- recipe=dungeonsdelight:rotbulb_from_rotbulb_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:rotbulb_crate×1;container=NONE -> dungeonsdelight:rotbulb_crate <- recipe=minecraft:rotbulb_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> minecraft:slime_ball=8(猜想)","MISSING_PRICE;CO_PRODUCT_ALLOCATION_REVIEW;PROBABILISTIC_OUTPUT_REVIEW;RECIPE_CYCLE;ZERO_COST;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_PROBABILISTIC_OUTPUT_REVIEW;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","MISSING_PRICE;CO_PRODUCT_ALLOCATION_REVIEW;PROBABILISTIC_OUTPUT_REVIEW;RECIPE_CYCLE;ZERO_COST;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_PROBABILISTIC_OUTPUT_REVIEW;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"dungeonsdelight:poi","T2","dungeonsdelight:monster_cooking/poi","怪物烹饪锅","1","","","1.65","REVIEW","1","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/monster_cooking/poi.json","dungeonsdelight:rotbulb×1 + dungeonsdelight:rotbulb×1 + dungeonsdelight:rotbulb×1","NONE","dungeonsdelight:poi <- recipe=dungeonsdelight:monster_cooking/poi;type=dungeonsdelight:monster_cooking;output=1;choices=dungeonsdelight:rotbulb×1 + dungeonsdelight:rotbulb×1 + dungeonsdelight:rotbulb×1;container=NONE -> dungeonsdelight:rotbulb <- recipe=dungeonsdelight:rotbulb_from_rotbulb_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:rotbulb_crate×1;container=NONE -> dungeonsdelight:rotbulb_crate <- recipe=minecraft:rotbulb_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> dungeonsdelight:rotbulb <- recipe=dungeonsdelight:rotbulb_from_rotbulb_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:rotbulb_crate×1;container=NONE -> dungeonsdelight:rotbulb_crate <- recipe=minecraft:rotbulb_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> dungeonsdelight:rotbulb <- recipe=dungeonsdelight:rotbulb_from_rotbulb_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:rotbulb_crate×1;container=NONE -> dungeonsdelight:rotbulb_crate <- recipe=minecraft:rotbulb_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR;UNKNOWN_BUFF","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR;UNKNOWN_BUFF"
"dungeonsdelight:poisonous_poutine","T2","dungeonsdelight:monster_cooking/poisonous_poutine","怪物烹饪锅","1","","","1.65","REVIEW","1","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/monster_cooking/poisonous_poutine.json","minecraft:poisonous_potato×1 + minecraft:poisonous_potato×1","NONE","dungeonsdelight:poisonous_poutine <- recipe=dungeonsdelight:monster_cooking/poisonous_poutine;type=dungeonsdelight:monster_cooking;output=1;choices=minecraft:poisonous_potato×1 + minecraft:poisonous_potato×1;container=NONE -> minecraft:poisonous_potato <- recipe=dungeonsdelight:poisonous_potato_from_poisonous_potato_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:poisonous_potato_crate×1;container=NONE -> dungeonsdelight:poisonous_potato_crate <- recipe=minecraft:poisonous_potato_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> minecraft:poisonous_potato <- recipe=dungeonsdelight:poisonous_potato_from_poisonous_potato_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:poisonous_potato_crate×1;container=NONE -> dungeonsdelight:poisonous_potato_crate <- recipe=minecraft:poisonous_potato_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;UNKNOWN_BUFF","RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;TAG_PRICE_MISSING;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;UNKNOWN_BUFF"
"dungeonsdelight:rot_roast","T2","dungeonsdelight:monster_cooking/rot_roast","怪物烹饪锅","1","","","1.65","REVIEW","1","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/monster_cooking/rot_roast.json","minecraft:apple×1 + minecraft:carrot×1 + dungeonsdelight:gunk×1 + dungeonsdelight:gunk×1","PART_OF_RESULT:dungeonsdelight:carved_rotgourd","dungeonsdelight:rot_roast <- recipe=dungeonsdelight:monster_cooking/rot_roast;type=dungeonsdelight:monster_cooking;output=1;choices=minecraft:apple×1 + minecraft:carrot×1 + dungeonsdelight:gunk×1 + dungeonsdelight:gunk×1;container=PART_OF_RESULT:dungeonsdelight:carved_rotgourd -> minecraft:apple=6(猜想) -> minecraft:carrot=4(已定义) -> dungeonsdelight:gunk <- recipe=dungeonsdelight:cutting/rotbulb;type=farmersdelight:cutting;output=2;choices=dungeonsdelight:rotbulb×1;container=NONE -> dungeonsdelight:rotbulb <- recipe=dungeonsdelight:rotbulb_from_rotbulb_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:rotbulb_crate×1;container=NONE -> dungeonsdelight:rotbulb_crate <- recipe=minecraft:rotbulb_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> dungeonsdelight:gunk <- recipe=dungeonsdelight:cutting/rotbulb;type=farmersdelight:cutting;output=2;choices=dungeonsdelight:rotbulb×1;container=NONE -> dungeonsdelight:rotbulb <- recipe=dungeonsdelight:rotbulb_from_rotbulb_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:rotbulb_crate×1;container=NONE -> dungeonsdelight:rotbulb_crate <- recipe=minecraft:rotbulb_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE","MISSING_PRICE;TAG_PRICE_MISSING;RECIPE_CYCLE;ZERO_COST;PRICE_SOURCE_REVIEW;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PRICE_SOURCE_REVIEW;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR;UNKNOWN_BUFF","MISSING_PRICE;TAG_PRICE_MISSING;RECIPE_CYCLE;ZERO_COST;PRICE_SOURCE_REVIEW;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PRICE_SOURCE_REVIEW;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR;UNKNOWN_BUFF"
"dungeonsdelight:rotpop","T2","dungeonsdelight:monster_cooking/rotpop","怪物烹饪锅","1","","","1.65","REVIEW","1","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/monster_cooking/rotpop.json","dungeonsdelight:rotgourd_slice×1 + dungeonsdelight:rotgourd_slice×1 + dungeonsdelight:rotgourd_slice×1 + dungeonsdelight:rotgourd_slice×1","NONE","dungeonsdelight:rotpop <- recipe=dungeonsdelight:monster_cooking/rotpop;type=dungeonsdelight:monster_cooking;output=1;choices=dungeonsdelight:rotgourd_slice×1 + dungeonsdelight:rotgourd_slice×1 + dungeonsdelight:rotgourd_slice×1 + dungeonsdelight:rotgourd_slice×1;container=NONE -> dungeonsdelight:rotgourd_slice <- recipe=dungeonsdelight:cutting/rotgourd;type=farmersdelight:cutting;output=4;choices=;container=NONE -> dungeonsdelight:rotgourd_slice <- recipe=dungeonsdelight:cutting/rotgourd;type=farmersdelight:cutting;output=4;choices=;container=NONE -> dungeonsdelight:rotgourd_slice <- recipe=dungeonsdelight:cutting/rotgourd;type=farmersdelight:cutting;output=4;choices=;container=NONE -> dungeonsdelight:rotgourd_slice <- recipe=dungeonsdelight:cutting/rotgourd;type=farmersdelight:cutting;output=4;choices=;container=NONE","MISSING_PRICE;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;UNKNOWN_BUFF","MISSING_PRICE;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;UNKNOWN_BUFF"
"dungeonsdelight:rubaboo","T2","dungeonsdelight:monster_cooking/rubaboo","怪物烹饪锅","1","","","1.65","REVIEW","1","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/monster_cooking/rubaboo.json","","NONE","dungeonsdelight:rubaboo <- recipe=dungeonsdelight:monster_cooking/rubaboo;type=dungeonsdelight:monster_cooking;output=1;choices=;container=NONE","MISSING_PRICE;TAG_PRICE_MISSING;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_ZERO_COST;UNKNOWN_BUFF","MISSING_PRICE;TAG_PRICE_MISSING;ZERO_COST;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_ZERO_COST;UNKNOWN_BUFF"
"dungeonsdelight:salt_soaked_stew","T2","dungeonsdelight:monster_cooking/salt_soaked_stew","怪物烹饪锅","1","","","1.65","REVIEW","1","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/monster_cooking/salt_soaked_stew.json","minecraft:salmon×1 + minecraft:beetroot×1","NONE","dungeonsdelight:salt_soaked_stew <- recipe=dungeonsdelight:monster_cooking/salt_soaked_stew;type=dungeonsdelight:monster_cooking;output=1;choices=minecraft:salmon×1 + minecraft:beetroot×1;container=NONE -> minecraft:salmon=8(已定义) -> minecraft:beetroot=7(已定义)","MISSING_PRICE;ALTERNATIVE_MISSING_PRICE;UNKNOWN_BUFF","MISSING_PRICE;ALTERNATIVE_MISSING_PRICE;UNKNOWN_BUFF"
"dungeonsdelight:sculk_apple","T2","dungeonsdelight:sculk_apple","工作台（无序）","1","74.00","74.00","1.65","1","1","123","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/sculk_apple.json","minecraft:apple×1 + dungeonsdelight:sculk_polyp×1 + dungeonsdelight:sculk_polyp×1 + minecraft:honey_bottle×1","NONE","dungeonsdelight:sculk_apple <- recipe=dungeonsdelight:sculk_apple;type=minecraft:crafting_shapeless;output=1;choices=minecraft:apple×1 + dungeonsdelight:sculk_polyp×1 + dungeonsdelight:sculk_polyp×1 + minecraft:honey_bottle×1;container=NONE -> minecraft:apple=6(猜想) -> dungeonsdelight:sculk_polyp <- recipe=minecraft:cutting/sculk;type=farmersdelight:cutting;output=1;choices=minecraft:sculk×1;container=NONE -> minecraft:sculk=28(缺省猜想) -> dungeonsdelight:sculk_polyp <- recipe=minecraft:cutting/sculk;type=farmersdelight:cutting;output=1;choices=minecraft:sculk×1;container=NONE -> minecraft:sculk=28(缺省猜想) -> minecraft:honey_bottle=12(猜想)","PROVISIONAL_PRICE_ANCHOR","PROVISIONAL_PRICE_ANCHOR;猜想锚点:minecraft:apple=6(猜想)|minecraft:sculk=28(缺省猜想)|minecraft:honey_bottle=12(猜想)"
"dungeonsdelight:shiokara","T2","dungeonsdelight:monster_cooking/shiokara","怪物烹饪锅","1","","","1.65","REVIEW","1","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/monster_cooking/shiokara.json","dungeonsdelight:rotten_tripe×1 + dungeonsdelight:rotten_tripe×1 + dungeonsdelight:rancid_reduction×1 + minecraft:ghast_tear×1","NONE","dungeonsdelight:shiokara <- recipe=dungeonsdelight:monster_cooking/shiokara;type=dungeonsdelight:monster_cooking;output=1;choices=dungeonsdelight:rotten_tripe×1 + dungeonsdelight:rotten_tripe×1 + dungeonsdelight:rancid_reduction×1 + minecraft:ghast_tear×1;container=NONE -> dungeonsdelight:rotten_tripe <- recipe=minecraft:cutting/rotten_flesh;type=farmersdelight:cutting;output=2;choices=minecraft:rotten_flesh×1;container=NONE -> minecraft:rotten_flesh=2(人工定价(PROVISIONAL):服务器既有猜想锚点) -> dungeonsdelight:rotten_tripe <- recipe=minecraft:cutting/rotten_flesh;type=farmersdelight:cutting;output=2;choices=minecraft:rotten_flesh×1;container=NONE -> minecraft:rotten_flesh=2(人工定价(PROVISIONAL):服务器既有猜想锚点) -> dungeonsdelight:rancid_reduction <- recipe=dungeonsdelight:monster_cooking/rancid_reduction_from_rotbulb;type=dungeonsdelight:monster_cooking;output=1;choices=dungeonsdelight:rotbulb×1 + dungeonsdelight:gunk×1 + dungeonsdelight:gunk×1 + minecraft:sugar×1 + #c:drinks/milk×1;container=NONE -> dungeonsdelight:rotbulb <- recipe=dungeonsdelight:rotbulb_from_rotbulb_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:rotbulb_crate×1;container=NONE -> dungeonsdelight:rotbulb_crate <- recipe=minecraft:rotbulb_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> dungeonsdelight:gunk <- recipe=dungeonsdelight:cutting/rotbulb;type=farmersdelight:cutting;output=2;choices=dungeonsdelight:rotbulb×1;container=NONE -> dungeonsdelight:rotbulb <- recipe=dungeonsdelight:rotbulb_from_rotbulb_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:rotbulb_crate×1;container=NONE -> dungeonsdelight:rotbulb_crate <- recipe=minecraft:rotbulb_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> dungeonsdelight:gunk <- recipe=dungeonsdelight:cutting/rotbulb;type=farmersdelight:cutting;output=2;choices=dungeonsdelight:rotbulb×1;container=NONE -> dungeonsdelight:rotbulb <- recipe=dungeonsdelight:rotbulb_from_rotbulb_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:rotbulb_crate×1;container=NONE -> dungeonsdelight:rotbulb_crate <- recipe=minecraft:rotbulb_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> #c:drinks/milk=6(猜想) -> minecraft:ghast_tear=40(猜想)","TAG_PRICE_MISSING;RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR;UNKNOWN_BUFF","TAG_PRICE_MISSING;RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR;UNKNOWN_BUFF"
"dungeonsdelight:silverfish_fried_rice","T2","dungeonsdelight:monster_cooking/silverfish_fried_rice","怪物烹饪锅","1","","","1.65","REVIEW","1","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/monster_cooking/silverfish_fried_rice.json","minecraft:carrot×1 + #c:crops/cabbage×1 + farmersdelight:rice×1 + #c:foods/cooked_egg×1","NONE","dungeonsdelight:silverfish_fried_rice <- recipe=dungeonsdelight:monster_cooking/silverfish_fried_rice;type=dungeonsdelight:monster_cooking;output=1;choices=minecraft:carrot×1 + #c:crops/cabbage×1 + farmersdelight:rice×1 + #c:foods/cooked_egg×1;container=NONE -> minecraft:carrot=4(已定义) -> #c:crops/cabbage=6(已定义) -> farmersdelight:rice=5(猜想) -> #c:foods/cooked_egg=8(缺省猜想)","MISSING_PRICE;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR;UNKNOWN_BUFF","MISSING_PRICE;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR;UNKNOWN_BUFF"
"dungeonsdelight:sinigang","T2","dungeonsdelight:monster_cooking/sinigang","怪物烹饪锅","1","","","1.65","REVIEW","1","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/monster_cooking/sinigang.json","dungeonsdelight:spider_extract×1 + dungeonsdelight:rotbulb×1 + farmersdelight:rice×1","NONE","dungeonsdelight:sinigang <- recipe=dungeonsdelight:monster_cooking/sinigang;type=dungeonsdelight:monster_cooking;output=1;choices=dungeonsdelight:spider_extract×1 + dungeonsdelight:rotbulb×1 + farmersdelight:rice×1;container=NONE -> dungeonsdelight:spider_extract <- recipe=dungeonsdelight:monster_cooking/spider_extract;type=dungeonsdelight:monster_cooking;output=1;choices=minecraft:spider_eye×1;container=NONE -> minecraft:spider_eye=6(猜想) -> dungeonsdelight:rotbulb <- recipe=dungeonsdelight:rotbulb_from_rotbulb_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:rotbulb_crate×1;container=NONE -> dungeonsdelight:rotbulb_crate <- recipe=minecraft:rotbulb_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> farmersdelight:rice=5(猜想)","MISSING_PRICE;RECIPE_CYCLE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR;UNKNOWN_BUFF","MISSING_PRICE;RECIPE_CYCLE;ZERO_COST;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR;UNKNOWN_BUFF"
"dungeonsdelight:slicorice","COMMON","dungeonsdelight:slicorice","工作台（无序）","1","","","1.15","1","0.95","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/slicorice.json","dungeonsdelight:wormroot_tendrils×1 + minecraft:sugar×1 + minecraft:slime_ball×1","NONE","dungeonsdelight:slicorice <- recipe=dungeonsdelight:slicorice;type=minecraft:crafting_shapeless;output=1;choices=dungeonsdelight:wormroot_tendrils×1 + minecraft:sugar×1 + minecraft:slime_ball×1;container=NONE -> dungeonsdelight:wormroot_tendrils <- recipe=dungeonsdelight:cutting/gunk;type=farmersdelight:cutting;output=1;choices=dungeonsdelight:gunk×1;container=NONE -> dungeonsdelight:gunk <- recipe=dungeonsdelight:cutting/rotbulb;type=farmersdelight:cutting;output=2;choices=dungeonsdelight:rotbulb×1;container=NONE -> dungeonsdelight:rotbulb <- recipe=dungeonsdelight:rotbulb_from_rotbulb_crate;type=minecraft:crafting_shapeless;output=9;choices=dungeonsdelight:rotbulb_crate×1;container=NONE -> dungeonsdelight:rotbulb_crate <- recipe=minecraft:rotbulb_crate;type=minecraft:crafting_shaped;output=1;choices=;container=NONE -> minecraft:sugar=4(已定义) -> minecraft:slime_ball=8(猜想)","CO_PRODUCT_ALLOCATION_REVIEW;PROBABILISTIC_OUTPUT_REVIEW;RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_PROBABILISTIC_OUTPUT_REVIEW;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","CO_PRODUCT_ALLOCATION_REVIEW;PROBABILISTIC_OUTPUT_REVIEW;RECIPE_CYCLE;MISSING_PRICE;ZERO_COST;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_PROBABILISTIC_OUTPUT_REVIEW;ALTERNATIVE_RECIPE_CYCLE;ALTERNATIVE_MISSING_PRICE;ALTERNATIVE_ZERO_COST;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"dungeonsdelight:slime_bar","COMMON","dungeonsdelight:slime_bar_from_shapeless","工作台（无序）","1","","","1.15","1","0.95","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/slime_bar_from_shapeless.json","farmersdelight:canvas×1 + minecraft:dried_kelp×1","NONE","dungeonsdelight:slime_bar <- recipe=dungeonsdelight:slime_bar_from_shapeless;type=minecraft:crafting_shapeless;output=1;choices=farmersdelight:canvas×1 + minecraft:dried_kelp×1;container=NONE -> farmersdelight:canvas=4(猜想) -> minecraft:dried_kelp=3(猜想)","TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
"dungeonsdelight:slime_noodles","T2","dungeonsdelight:cutting/slime_bar","农夫乐事切菜砧板","2","","","1.65","1","1","","STALE","false","JAR","[农夫乐事-地牢乐事]neoforge-dungeonsdelight-1.21.1-1.5.0.jar","data/dungeonsdelight/recipe/cutting/slime_bar.json","dungeonsdelight:slime_bar×1","NONE","dungeonsdelight:slime_noodles <- recipe=dungeonsdelight:cutting/slime_bar;type=farmersdelight:cutting;output=2;choices=dungeonsdelight:slime_bar×1;container=NONE -> dungeonsdelight:slime_bar <- recipe=dungeonsdelight:slime_bar_from_shapeless;type=minecraft:crafting_shapeless;output=1;choices=farmersdelight:canvas×1 + minecraft:dried_kelp×1;container=NONE -> farmersdelight:canvas=4(猜想) -> minecraft:dried_kelp=3(猜想)","CO_PRODUCT_ALLOCATION_REVIEW;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR","CO_PRODUCT_ALLOCATION_REVIEW;TAG_PRICE_MISSING;PROVISIONAL_PRICE_ANCHOR;ALTERNATIVE_CO_PRODUCT_ALLOCATION_REVIEW;ALTERNATIVE_TAG_PRICE_MISSING;ALTERNATIVE_PROVISIONAL_PRICE_ANCHOR"
