"item_id","中文名","来源模组","6A分类","6A建议档次","旧权威表档次","当前item档次","命中recipe覆盖","当前实际档次","合并状态","是否新增","有效配方ID","分类证据","建议动作"
"mynethersdelight:deviled_egg","Deviled Egg","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/deviled_egg","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:dried_ghast_with_milk","Dried Ghast with Milk","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:crafting/dried_ghast_with_milk","manual_override;最终可食用餐食；饥饿6；简单合成","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:egg_soup","Egg Soup","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/egg_soup","dish_token;edible=true;type=farmersdelight:cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:fried_hoglin_chop","Fried Hoglin Chop","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:cooking/fried_hoglin_chop","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:fries_ghasta","Fries Ghasta","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/fries_ghasta","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:ghast_salad","Ghast Salad","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:crafting/ghast_salad","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:giant_takoyaki","Giant Takoyaki","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/giant_tentacles","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:hoglin_sausage","Hoglin Sausage","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cutting/hoglin_sausage","dish_token;edible=true;type=farmersdelight:cutting","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:hot_cream_cone","Hot Cream Cone","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:crafting/hotcream_cone","manual_override;FOOD nutrition=4 saturation=8 effects=g_pungent+fire_resistance; recipe id=mynethersdelight:crafting/hotcream_cone (hot_cream+powder_cannon×3)×3; HotCreamConeItem; 复合甜品","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:hot_wings","Hot Wings","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/hot_wings | mynethersdelight:crafting/hot_wings_bucket_alt","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:hot_wings_bucket","Hot Wings Bucket","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:crafting/hot_wings_bucket","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:hotdog","Hotdog","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:crafting/hotdog","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:hotdog_with_mixed_salad","Hotdog with Mixed Salad","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:crafting/hotdog_with_mixed_salad","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:hotdog_with_nether_salad","Hotdog with Nether Salad","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:crafting/hotdog_with_nether_salad","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:magma_cake_slice","Magma Cake Slice","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cutting/magma_cake","dish_token;edible=true;type=farmersdelight:cutting","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:nether_burger","Nether Burger","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:crafting/nether_burger","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:red_loin_on_a_stick","Red Loin on a Stick","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:crafting/red_loin_on_a_stick","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:roasted_sausage","Roasted Sausage","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:hoglin_sausage_cooking | mynethersdelight:hoglin_sausage_from_campfire_cooking | mynethersdelight:hoglin_sausage_from_smoking","dish_token;edible=true;type=minecraft:smelting","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:rock_soup","Rock Soup","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/rock_soup | mynethersdelight:crafting/rock_soup","dish_token;edible=true;type=farmersdelight:cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:sausage_and_potatoes","Sausage and Potatoes","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/sausage_and_potatoes","dish_token;edible=true;type=farmersdelight:cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:scotch_eggs","Scotch Eggs","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/scotch_eggs","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:sizzling_pudding","Sizzling Pudding","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:crafting/sizzling_pudding","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:slices_of_bread","Slices of Bread","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cutting/slices_of_bread","dish_token;edible=true;type=farmersdelight:cutting","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:spicy_cotton","Spicy Cotton","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:crafting/spicy_cotton","manual_override;可食用成品；火焰抗性buff；非中间料","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:spicy_curry","Spicy Curry","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/spicy_curry","dish_token;edible=true;type=farmersdelight:cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:spicy_hoglin_stew","Spicy Hoglin Stew","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/spicy_hoglin_stew","dish_token;edible=true;type=farmersdelight:cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:spicy_noodle_soup","Spicy Noodle Soup","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/spicy_noodle_soup","dish_token;edible=true;type=farmersdelight:cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:spicy_skewer","Spicy Skewer","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:crafting/spicy_skewer","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:strider_stew","Strider Stew","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/strider_stew","dish_token;edible=true;type=farmersdelight:cooking","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:strider_with_grilled_fungus","Strider with Grilled Fungus","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/strider_and_grilled_fungus","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:stuffed_pepper","Stuffed Pepper","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:crafting/stuffed_pepper","manual_override;FOOD nutrition=8 saturation=12.8 effect=b_pungent; recipe id=mynethersdelight:crafting/stuffed_pepper (bullet_pepper+cooked_pork+milk); 复合正餐","6B.1 可考虑新增 item tier=T2 + FG entry"
"mynethersdelight:tear_popsicle","Tear Popsicle","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:crafting/tear_popsicle","dish_token;edible=true;type=minecraft:crafting_shaped","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:toasts","Toasts","My Nether's Delight","DISH","COMMON","","","","","NEW","是","mynethersdelight:toast_cooking | mynethersdelight:toast_from_campfire_cooking | mynethersdelight:toast_from_smoking","cooking_device=minecraft:smelting;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"mynethersdelight:twisted_ghasta","Twisted Ghasta","My Nether's Delight","DISH","T2","","","","","NEW","是","mynethersdelight:cooking/twisted_ghasta","cooking_device=farmersdelight:cooking;food_component","6B.1 可考虑新增 item tier=T2 + FG entry"
"neapolitan:adzuki_bun","Adzuki Bun","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:adzuki_bun","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:adzuki_curry","Adzuki Curry","Neapolitan","DISH","T2","","","","","NEW","是","neapolitan:adzuki_curry","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"neapolitan:adzuki_ice_cream","Adzuki Ice Cream","Neapolitan","DISH","T2","","","","","NEW","是","neapolitan:adzuki_ice_cream","explicit_dish_allowlist","6B.1 可考虑新增 item tier=T2 + FG entry"
"neapolitan:adzuki_stew","Adzuki Stew","Neapolitan","DISH","T2","","","","","NEW","是","neapolitan:adzuki_stew","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"neapolitan:banana_bread","Banana Bread","Neapolitan","DISH","T2","","","","","NEW","是","neapolitan:banana_bread","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
"neapolitan:banana_ice_cream","Banana Ice Cream","Neapolitan","DISH","T2","","","","","NEW","是","neapolitan:banana_ice_cream","explicit_dish_allowlist","6B.1 可考虑新增 item tier=T2 + FG entry"
"neapolitan:chocolate_bar","Chocolate Bar","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:chocolate_bar | neapolitan:chocolate_bar_from_chocolate_block","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:chocolate_ice_cream","Chocolate Ice Cream","Neapolitan","DISH","T2","","","","","NEW","是","neapolitan:chocolate_ice_cream","explicit_dish_allowlist","6B.1 可考虑新增 item tier=T2 + FG entry"
"neapolitan:chocolate_spider_eye","Chocolate Spider Eye","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:chocolate_spider_eye","manual_override;可食用成品；sugar_rush效果；简单合成","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:chocolate_strawberries","Chocolate Strawberries","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:chocolate_strawberries","manual_override;FOOD nutrition=4 saturation=0.8 effect=sugar_rush; recipe id=neapolitan:chocolate_strawberries (strawberry+chocolate_bar); 简单加工甜点","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:cooked_mint_chops","Cooked Mint Chops","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:cooked_mint_chops | neapolitan:cooked_mint_chops_from_campfire_cooking | neapolitan:cooked_mint_chops_from_smoking","cooking_device=minecraft:smelting;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:dried_banana","Dried Banana","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:dried_banana | neapolitan:dried_banana_from_campfire_cooking | neapolitan:dried_banana_from_smoking","cooking_device=minecraft:smelting;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:dried_vanilla_pods","Dried Vanilla Pods","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:dried_vanilla_pods | neapolitan:dried_vanilla_pods_from_campfire_cooking | neapolitan:dried_vanilla_pods_from_dried_vanilla_pod_block | neapolitan:dried_vanilla_pods_from_smoking","cooking_device=minecraft:smelting;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:mint_candies","Mint Candies","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:mint_candies","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:mint_chocolate","Mint Chocolate","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:mint_chocolate","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:mint_chops","Raw Mint Chops","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:mint_chops","manual_override;简单烹饪肉类；berserking效果；复杂度低","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:mint_ice_cream","Mint Ice Cream","Neapolitan","DISH","T2","","","","","NEW","是","neapolitan:mint_ice_cream","explicit_dish_allowlist","6B.1 可考虑新增 item tier=T2 + FG entry"
"neapolitan:neapolitan_ice_cream","Neapolitan Ice Cream","Neapolitan","DISH","T2","","","","","NEW","是","neapolitan:neapolitan_ice_cream | neapolitan:neapolitan_ice_cream_from_vanilla_ice_cream","explicit_dish_allowlist","6B.1 可考虑新增 item tier=T2 + FG entry"
"neapolitan:roasted_adzuki_beans","Roasted Adzuki Beans","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:roasted_adzuki_beans | neapolitan:roasted_adzuki_beans_from_campfire_cooking | neapolitan:roasted_adzuki_beans_from_roasted_adzuki_crate | neapolitan:roasted_adzuki_beans_from_smoking","cooking_device=minecraft:smelting;food_component","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:strawberry_bean_bonbons","Strawberry Bean Bonbons","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:strawberry_bean_bonbons","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:strawberry_ice_cream","Strawberry Ice Cream","Neapolitan","DISH","T2","","","","","NEW","是","neapolitan:strawberry_ice_cream","explicit_dish_allowlist","6B.1 可考虑新增 item tier=T2 + FG entry"
"neapolitan:strawberry_scones","Strawberry Scones","Neapolitan","DISH","T2","","","","","NEW","是","neapolitan:strawberry_scones","manual_override;FOOD nutrition=5 saturation=1; recipe id=neapolitan:strawberry_scones (wheat×2+strawberry+sugar)×2; 烘焙点心","6B.1 可考虑新增 item tier=T2 + FG entry"
"neapolitan:vanilla_chocolate_fingers","Vanilla Chocolate Fingers","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:vanilla_chocolate_fingers","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:vanilla_fudge","Vanilla Fudge","Neapolitan","DISH","COMMON","","","","","NEW","是","neapolitan:vanilla_fudge","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=COMMON + FG entry"
"neapolitan:vanilla_ice_cream","Vanilla Ice Cream","Neapolitan","DISH","T2","","","","","NEW","是","neapolitan:vanilla_ice_cream","explicit_dish_allowlist","6B.1 可考虑新增 item tier=T2 + FG entry"
"neapolitan:vanilla_pudding","Vanilla Pudding","Neapolitan","DISH","T2","","","","","NEW","是","neapolitan:vanilla_pudding","dish_token;edible=true;type=minecraft:crafting_shapeless","6B.1 可考虑新增 item tier=T2 + FG entry"
