"item_id","建议分类","entry_id","当前是否存在","当前所在分类","合并状态","是否建议新增","解锁方式","备注"
"mynethersdelight:twisted_ghasta","T2","item:mynethersdelight/twisted_ghasta","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:adzuki_bun","COMMON","item:neapolitan/adzuki_bun","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:adzuki_curry","T2","item:neapolitan/adzuki_curry","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:adzuki_ice_cream","T2","item:neapolitan/adzuki_ice_cream","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:adzuki_stew","T2","item:neapolitan/adzuki_stew","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:banana_bread","T2","item:neapolitan/banana_bread","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:banana_ice_cream","T2","item:neapolitan/banana_ice_cream","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:chocolate_bar","COMMON","item:neapolitan/chocolate_bar","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:chocolate_ice_cream","T2","item:neapolitan/chocolate_ice_cream","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:chocolate_spider_eye","COMMON","item:neapolitan/chocolate_spider_eye","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:chocolate_strawberries","COMMON","item:neapolitan/chocolate_strawberries","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:cooked_mint_chops","COMMON","item:neapolitan/cooked_mint_chops","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:dried_banana","COMMON","item:neapolitan/dried_banana","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:dried_vanilla_pods","COMMON","item:neapolitan/dried_vanilla_pods","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:mint_candies","COMMON","item:neapolitan/mint_candies","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:mint_chocolate","COMMON","item:neapolitan/mint_chocolate","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:mint_chops","COMMON","item:neapolitan/mint_chops","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:mint_ice_cream","T2","item:neapolitan/mint_ice_cream","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:neapolitan_ice_cream","T2","item:neapolitan/neapolitan_ice_cream","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:roasted_adzuki_beans","COMMON","item:neapolitan/roasted_adzuki_beans","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:strawberry_bean_bonbons","COMMON","item:neapolitan/strawberry_bean_bonbons","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:strawberry_ice_cream","T2","item:neapolitan/strawberry_ice_cream","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:strawberry_scones","T2","item:neapolitan/strawberry_scones","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:vanilla_chocolate_fingers","COMMON","item:neapolitan/vanilla_chocolate_fingers","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:vanilla_fudge","COMMON","item:neapolitan/vanilla_fudge","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:vanilla_ice_cream","T2","item:neapolitan/vanilla_ice_cream","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
"neapolitan:vanilla_pudding","T2","item:neapolitan/vanilla_pudding","否","","FG_NEW","是","tcth:chef_cookbook_gate（DishCookedEvent 严格解锁；拿取/食用不自动解锁）","absent"
