配方ID,产物,数量,机器,原料,附加参数
millstone_oil_from_seeds,油脂(kaleidoscope_cookery:oil),1,石磨,种子(#c:seeds),
millstone_orange_dye_from_orange_tulip,橙色染料(minecraft:orange_dye),2,石磨,橙色郁金香(minecraft:orange_tulip),
millstone_orange_dye_from_torchflower,橙色染料(minecraft:orange_dye),2,石磨,火把花(minecraft:torchflower),
millstone_pink_dye_from_peony,粉红色染料(minecraft:pink_dye),3,石磨,牡丹(minecraft:peony),
millstone_pink_dye_from_pink_petals,粉红色染料(minecraft:pink_dye),2,石磨,粉红色花瓣(minecraft:pink_petals),
millstone_pink_dye_from_pink_tulip,粉红色染料(minecraft:pink_dye),2,石磨,粉色郁金香(minecraft:pink_tulip),
millstone_polished_andesite_from_andesite,磨制安山岩(minecraft:polished_andesite),1,石磨,安山岩(minecraft:andesite),
millstone_polished_basalt_from_basalt,磨制玄武岩(minecraft:polished_basalt),1,石磨,玄武岩(minecraft:basalt),
millstone_polished_basalt_from_smooth_basalt,磨制玄武岩(minecraft:polished_basalt),1,石磨,平滑玄武岩(minecraft:smooth_basalt),
millstone_polished_blackstone_from_blackstone,磨制黑石(minecraft:polished_blackstone),1,石磨,黑石(minecraft:blackstone),
millstone_polished_deepslate_from_cobbled_deepslate,磨制深板岩(minecraft:polished_deepslate),1,石磨,深板岩圆石(minecraft:cobbled_deepslate),
millstone_polished_deepslate_from_deepslate,磨制深板岩(minecraft:polished_deepslate),1,石磨,深板岩(minecraft:deepslate),
millstone_polished_diorite_from_diorite,磨制闪长岩(minecraft:polished_diorite),1,石磨,闪长岩(minecraft:diorite),
millstone_polished_granite_from_granite,磨制花岗岩(minecraft:polished_granite),1,石磨,花岗岩(minecraft:granite),
millstone_quartz_from_chiseled_quartz_block,下界石英(minecraft:quartz),3,石磨,錾制石英块(minecraft:chiseled_quartz_block),
millstone_quartz_from_nether_quartz_ore,下界石英(minecraft:quartz),3,石磨,下界石英矿石(minecraft:nether_quartz_ore),
millstone_quartz_from_quartz_block,下界石英(minecraft:quartz),3,石磨,石英块(minecraft:quartz_block),
millstone_quartz_from_quartz_bricks,下界石英(minecraft:quartz),3,石磨,石英砖(minecraft:quartz_bricks),
millstone_quartz_from_quartz_pillar,下界石英(minecraft:quartz),3,石磨,石英柱(minecraft:quartz_pillar),
millstone_quartz_from_smooth_quartz,下界石英(minecraft:quartz),3,石磨,平滑石英块(minecraft:smooth_quartz),
millstone_raw_copper_from_copper_ore,粗铜(minecraft:raw_copper),5,石磨,铜矿石(minecraft:copper_ore),
millstone_raw_copper_from_deepslate_copper_ore,粗铜(minecraft:raw_copper),5,石磨,深层铜矿石(minecraft:deepslate_copper_ore),
millstone_raw_gold_from_deepslate_gold_ore,粗金(minecraft:raw_gold),3,石磨,深层金矿石(minecraft:deepslate_gold_ore),
millstone_raw_gold_from_gold_ore,粗金(minecraft:raw_gold),3,石磨,金矿石(minecraft:gold_ore),
millstone_raw_iron_from_deepslate_iron_ore,粗铁(minecraft:raw_iron),3,石磨,深层铁矿石(minecraft:deepslate_iron_ore),
millstone_raw_iron_from_iron_ore,粗铁(minecraft:raw_iron),3,石磨,铁矿石(minecraft:iron_ore),
millstone_red_dye_from_beetroot,红色染料(minecraft:red_dye),2,石磨,甜菜根(minecraft:beetroot),
millstone_red_dye_from_poppy,红色染料(minecraft:red_dye),2,石磨,虞美人(minecraft:poppy),
millstone_red_dye_from_red_tulip,红色染料(minecraft:red_dye),2,石磨,红色郁金香(minecraft:red_tulip),
millstone_red_dye_from_rose_bush,红色染料(minecraft:red_dye),3,石磨,玫瑰丛(minecraft:rose_bush),
millstone_redstone_from_deepslate_redstone_ore,红石粉(minecraft:redstone),7,石磨,深层红石矿石(minecraft:deepslate_redstone_ore),
millstone_redstone_from_redstone_ore,红石粉(minecraft:redstone),7,石磨,红石矿石(minecraft:redstone_ore),
millstone_rice_from_rice_panicle,稻米(kaleidoscope_cookery:rice),3,石磨,稻穗(kaleidoscope_cookery:rice_panicle),
millstone_sand_from_gravel,沙子(minecraft:sand),1,石磨,砂砾(#c:gravels),
millstone_smooth_red_sandstone_from_red_sand,平滑红砂岩(minecraft:smooth_red_sandstone),1,石磨,红沙(#c:sands/red),
millstone_smooth_red_sandstone_from_red_sandstone,平滑红砂岩(minecraft:smooth_red_sandstone),1,石磨,红砂岩(minecraft:red_sandstone),
millstone_smooth_sandstone_from_sand,平滑砂岩(minecraft:smooth_sandstone),1,石磨,沙子(#c:sands/colorless),
millstone_smooth_sandstone_from_sandstone,平滑砂岩(minecraft:smooth_sandstone),1,石磨,砂岩(minecraft:sandstone),
millstone_smooth_stone_from_cobblestone,平滑石头(minecraft:smooth_stone),1,石磨,圆石(minecraft:cobblestone),
millstone_string_from_black_wool,线(minecraft:string),3,石磨,黑色羊毛(minecraft:black_wool),
millstone_string_from_blue_wool,线(minecraft:string),3,石磨,蓝色羊毛(minecraft:blue_wool),
millstone_string_from_brown_wool,线(minecraft:string),3,石磨,棕色羊毛(minecraft:brown_wool),
millstone_string_from_cyan_wool,线(minecraft:string),3,石磨,青色羊毛(minecraft:cyan_wool),
millstone_string_from_gray_wool,线(minecraft:string),3,石磨,灰色羊毛(minecraft:gray_wool),
millstone_string_from_green_wool,线(minecraft:string),3,石磨,绿色羊毛(minecraft:green_wool),
millstone_string_from_light_blue_wool,线(minecraft:string),3,石磨,淡蓝色羊毛(minecraft:light_blue_wool),
millstone_string_from_light_gray_wool,线(minecraft:string),3,石磨,淡灰色羊毛(minecraft:light_gray_wool),
millstone_string_from_lime_wool,线(minecraft:string),3,石磨,黄绿色羊毛(minecraft:lime_wool),
millstone_string_from_magenta_wool,线(minecraft:string),3,石磨,品红色羊毛(minecraft:magenta_wool),
millstone_string_from_orange_wool,线(minecraft:string),3,石磨,橙色羊毛(minecraft:orange_wool),
millstone_string_from_pink_wool,线(minecraft:string),3,石磨,粉红色羊毛(minecraft:pink_wool),
millstone_string_from_purple_wool,线(minecraft:string),3,石磨,紫色羊毛(minecraft:purple_wool),
millstone_string_from_red_wool,线(minecraft:string),3,石磨,红色羊毛(minecraft:red_wool),
millstone_string_from_white_wool,线(minecraft:string),3,石磨,白色羊毛(minecraft:white_wool),
millstone_string_from_yellow_wool,线(minecraft:string),3,石磨,黄色羊毛(minecraft:yellow_wool),
millstone_white_dye_from_lily_of_the_valley,白色染料(minecraft:white_dye),2,石磨,铃兰(minecraft:lily_of_the_valley),
millstone_white_dye_from_white_tulip,白色染料(minecraft:white_dye),2,石磨,白色郁金香(minecraft:white_tulip),
millstone_yellow_dye_from_dandelion,黄色染料(minecraft:yellow_dye),2,石磨,蒲公英(minecraft:dandelion),
millstone_yellow_dye_from_sunflower,黄色染料(minecraft:yellow_dye),3,石磨,向日葵(minecraft:sunflower),
nether_style_sashimi,下界风味刺身(kaleidoscope_cookery:nether_style_sashimi),1,工作台,绯红菌(minecraft:crimson_fungus) + 诡异菌(minecraft:warped_fungus) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 刺身(kaleidoscope_cookery:sashimi) + 碗(minecraft:bowl),
oil,油脂(kaleidoscope_cookery:oil),9,工作台,油脂块(kaleidoscope_cookery:oil_block),
oil_block,油脂块(kaleidoscope_cookery:oil_block),1,工作台,油脂(kaleidoscope_cookery:oil)×9,
oil_pot,油壶(kaleidoscope_cookery:oil_pot),1,工作台,重型测重压力板(minecraft:heavy_weighted_pressure_plate) + 桶(minecraft:bucket) + 木棍(minecraft:stick),
pot,炒锅(kaleidoscope_cookery:pot),1,工作台,铁锭(#c:ingots/iron)×7,
pot_beef_to_cooked_beef_1,牛排(minecraft:cooked_beef),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生牛肉(minecraft:beef),
pot_beef_to_cooked_beef_2,牛排(minecraft:cooked_beef),2,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),
pot_beef_to_cooked_beef_3,牛排(minecraft:cooked_beef),3,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),
pot_beef_to_cooked_beef_4,牛排(minecraft:cooked_beef),4,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),
pot_beef_to_cooked_beef_5,牛排(minecraft:cooked_beef),5,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),
pot_beef_to_cooked_beef_6,牛排(minecraft:cooked_beef),6,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),
pot_beef_to_cooked_beef_7,牛排(minecraft:cooked_beef),7,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),
pot_beef_to_cooked_beef_8,牛排(minecraft:cooked_beef),8,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),
pot_beef_to_cooked_beef_9,牛排(minecraft:cooked_beef),9,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef) + 生牛肉(minecraft:beef),
pot_blaze_lamb_chop,烈焰羊排(kaleidoscope_cookery:blaze_lamb_chop),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",烈焰粉(minecraft:blaze_powder) + 烈焰粉(minecraft:blaze_powder) + 烈焰粉(minecraft:blaze_powder) + 生羊肉(#c:foods/raw_mutton) + 生羊肉(#c:foods/raw_mutton) + 生羊肉(#c:foods/raw_mutton),载体:碗(minecraft:bowl)
pot_braised_beef,红烧牛肉(kaleidoscope_cookery:braised_beef),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生牛肉(#c:foods/raw_beef) + 生牛肉(#c:foods/raw_beef) + 生牛肉(#c:foods/raw_beef) + 红辣椒(kaleidoscope_cookery:red_chili) + 红辣椒(kaleidoscope_cookery:red_chili) + 红辣椒(kaleidoscope_cookery:red_chili),载体:碗(minecraft:bowl)
pot_braised_pork_ribs,红烧排骨(kaleidoscope_cookery:braised_pork_ribs),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",骨头(minecraft:bone) + 骨头(minecraft:bone) + 骨头(minecraft:bone) + 骨头(minecraft:bone) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork),载体:碗(minecraft:bowl)
pot_candied_potato,拔丝土豆(kaleidoscope_cookery:candied_potato),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 马铃薯(minecraft:potato) + 糖(minecraft:sugar) + 糖(minecraft:sugar),载体:碗(minecraft:bowl)
pot_chicken_to_cooked_chicken_1,熟鸡肉(minecraft:cooked_chicken),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鸡肉(minecraft:chicken),
pot_chicken_to_cooked_chicken_2,熟鸡肉(minecraft:cooked_chicken),2,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken),
pot_chicken_to_cooked_chicken_3,熟鸡肉(minecraft:cooked_chicken),3,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken),
pot_chicken_to_cooked_chicken_4,熟鸡肉(minecraft:cooked_chicken),4,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken),
pot_chicken_to_cooked_chicken_5,熟鸡肉(minecraft:cooked_chicken),5,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken),
pot_chicken_to_cooked_chicken_6,熟鸡肉(minecraft:cooked_chicken),6,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken),
pot_chicken_to_cooked_chicken_7,熟鸡肉(minecraft:cooked_chicken),7,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken),
pot_chicken_to_cooked_chicken_8,熟鸡肉(minecraft:cooked_chicken),8,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken),
pot_chicken_to_cooked_chicken_9,熟鸡肉(minecraft:cooked_chicken),9,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken) + 生鸡肉(minecraft:chicken),
pot_chorus_fried_egg,荷包紫颂烧(kaleidoscope_cookery:chorus_fried_egg),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs),载体:碗(minecraft:bowl)
pot_chorus_fruit_to_popped_chorus_fruit_1,爆裂紫颂果(minecraft:popped_chorus_fruit),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",紫颂果(minecraft:chorus_fruit),
pot_chorus_fruit_to_popped_chorus_fruit_2,爆裂紫颂果(minecraft:popped_chorus_fruit),2,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit),
pot_chorus_fruit_to_popped_chorus_fruit_3,爆裂紫颂果(minecraft:popped_chorus_fruit),3,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit),
pot_chorus_fruit_to_popped_chorus_fruit_4,爆裂紫颂果(minecraft:popped_chorus_fruit),4,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit),
pot_chorus_fruit_to_popped_chorus_fruit_5,爆裂紫颂果(minecraft:popped_chorus_fruit),5,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit),
pot_chorus_fruit_to_popped_chorus_fruit_6,爆裂紫颂果(minecraft:popped_chorus_fruit),6,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit),
pot_chorus_fruit_to_popped_chorus_fruit_7,爆裂紫颂果(minecraft:popped_chorus_fruit),7,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit),
pot_chorus_fruit_to_popped_chorus_fruit_8,爆裂紫颂果(minecraft:popped_chorus_fruit),8,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit),
pot_chorus_fruit_to_popped_chorus_fruit_9,爆裂紫颂果(minecraft:popped_chorus_fruit),9,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit) + 紫颂果(minecraft:chorus_fruit),
pot_cod_to_cooked_cod_1,熟鳕鱼(minecraft:cooked_cod),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鳕鱼(minecraft:cod),
pot_cod_to_cooked_cod_2,熟鳕鱼(minecraft:cooked_cod),2,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),
pot_cod_to_cooked_cod_3,熟鳕鱼(minecraft:cooked_cod),3,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),
pot_cod_to_cooked_cod_4,熟鳕鱼(minecraft:cooked_cod),4,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),
pot_cod_to_cooked_cod_5,熟鳕鱼(minecraft:cooked_cod),5,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),
pot_cod_to_cooked_cod_6,熟鳕鱼(minecraft:cooked_cod),6,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),
pot_cod_to_cooked_cod_7,熟鳕鱼(minecraft:cooked_cod),7,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),
pot_cod_to_cooked_cod_8,熟鳕鱼(minecraft:cooked_cod),8,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),
pot_cod_to_cooked_cod_9,熟鳕鱼(minecraft:cooked_cod),9,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod) + 生鳕鱼(minecraft:cod),
pot_cooked_rice_to_sticky_rice_cake_1,糍粑(kaleidoscope_cookery:sticky_rice_cake),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",米饭(kaleidoscope_cookery:cooked_rice),
pot_cooked_rice_to_sticky_rice_cake_2,糍粑(kaleidoscope_cookery:sticky_rice_cake),2,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),
pot_cooked_rice_to_sticky_rice_cake_3,糍粑(kaleidoscope_cookery:sticky_rice_cake),3,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),
pot_cooked_rice_to_sticky_rice_cake_4,糍粑(kaleidoscope_cookery:sticky_rice_cake),4,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),
pot_cooked_rice_to_sticky_rice_cake_5,糍粑(kaleidoscope_cookery:sticky_rice_cake),5,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),
pot_cooked_rice_to_sticky_rice_cake_6,糍粑(kaleidoscope_cookery:sticky_rice_cake),6,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),
pot_cooked_rice_to_sticky_rice_cake_7,糍粑(kaleidoscope_cookery:sticky_rice_cake),7,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),
pot_cooked_rice_to_sticky_rice_cake_8,糍粑(kaleidoscope_cookery:sticky_rice_cake),8,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),
pot_cooked_rice_to_sticky_rice_cake_9,糍粑(kaleidoscope_cookery:sticky_rice_cake),9,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice) + 米饭(kaleidoscope_cookery:cooked_rice),
pot_crystal_lamb_chop,水晶羊排(kaleidoscope_cookery:crystal_lamb_chop),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",紫水晶碎片(minecraft:amethyst_shard) + 紫水晶碎片(minecraft:amethyst_shard) + 紫水晶碎片(minecraft:amethyst_shard) + 生羊肉(#c:foods/raw_mutton) + 生羊肉(#c:foods/raw_mutton) + 生羊肉(#c:foods/raw_mutton),载体:碗(minecraft:bowl)
pot_dongpo_pork,东坡肉(kaleidoscope_cookery:dongpo_pork),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",竹子(minecraft:bamboo) + 竹子(minecraft:bamboo) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork) + 生猪排(#c:foods/raw_pork),载体:碗(minecraft:bowl)
pot_donkey_burger,驴肉火烧(kaleidoscope_cookery:donkey_burger),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",辣椒(#c:crops/chilipepper) + 辣椒(#c:crops/chilipepper) + 面团(#c:dough) + 面团(#c:dough) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats) + 生切制小肉(kaleidoscope_cookery:raw_cut_small_meats),
pot_egg_fried_rice,蛋炒饭(kaleidoscope_cookery:egg_fried_rice),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",蛋(#c:eggs) + 蛋(#c:eggs) + 熟米饭(#c:foods/cooked_rice),载体:碗(minecraft:bowl)
pot_egg_to_fried_egg_1,煎蛋(kaleidoscope_cookery:fried_egg),1,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",蛋(#c:eggs),
pot_egg_to_fried_egg_2,煎蛋(kaleidoscope_cookery:fried_egg),2,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",蛋(#c:eggs) + 蛋(#c:eggs),
pot_egg_to_fried_egg_3,煎蛋(kaleidoscope_cookery:fried_egg),3,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs),
pot_egg_to_fried_egg_4,煎蛋(kaleidoscope_cookery:fried_egg),4,"炒锅(置于炉灶上,依次加油/加料/翻炒/盛菜)",蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs) + 蛋(#c:eggs),
