"来源模组","配方 ID","配方中文译名（主产物）","配方序列化类型","合成机器/工序","产物中文名","产物 ID","产物数量","是否可食用","饥饿值","饱食度","食用效果/BUFF","经验值","烹饪时间(tick)","原料概览","备注"
"kaleidoscope_cookery","kaleidoscope_cookery:kitchenware_racks","厨具架","minecraft:crafting_shaped","工作台（有序合成）","厨具架","kaleidoscope_cookery:kitchenware_racks","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/string_from_blue_wool","线","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","线","minecraft:string","3","否","","","","","","原料：蓝色羊毛 <minecraft:blue_wool>",""
"farmersdelight","farmersdelight:wooden_basket","木篮","minecraft:crafting_shaped","工作台（有序合成）","木篮","farmersdelight:wooden_basket","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:tatami_block_from_full","榻榻米方块","minecraft:crafting_shapeless","工作台（无序合成）","榻榻米方块","farmersdelight:tatami","1","否","","","","","","原料：长榻榻米垫 <farmersdelight:full_tatami_mat>；原料：长榻榻米垫 <farmersdelight:full_tatami_mat>",""
"farmersdelight","farmersdelight:chocolate_pie_from_slices","巧克力派","minecraft:crafting_shaped","工作台（有序合成）","巧克力派","farmersdelight:chocolate_pie","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:cooking/vegetable_noodles","蔬菜面","farmersdelight:cooking","烹饪锅","蔬菜面","farmersdelight:vegetable_noodles","1","是","14","21","滋养 6000tick 1级 概率1","","","原料：#c:crops/carrot；原料：#c:mushrooms；原料：#c:foods/pasta；原料：#c:foods/leafy_green；原料：{""type"":""neoforge:difference"",""base"":{""tag"":""c:foods/vegetable""},""subtracted"":{""item"":""minecraft:melon_slice""}}",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/polished_deepslate_from_deepslate","磨制深板岩","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","磨制深板岩","minecraft:polished_deepslate","1","否","","","","","","原料：深板岩 <minecraft:deepslate>",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/polished_deepslate_from_cobbled_deepslate","磨制深板岩","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","磨制深板岩","minecraft:polished_deepslate","1","否","","","","","","原料：深板岩圆石 <minecraft:cobbled_deepslate>",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/diamond_from_deepslate_diamond_ore","钻石","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","钻石","minecraft:diamond","2","否","","","","","","原料：深层钻石矿石 <minecraft:deepslate_diamond_ore>",""
"farmersdelight","farmersdelight:nether_salad","下界沙拉","minecraft:crafting_shapeless","工作台（无序合成）","下界沙拉","farmersdelight:nether_salad","1","是","5","4","反胃 240tick 1级 概率0.30000001192092896","","","原料：绯红菌 <minecraft:crimson_fungus>；原料：诡异菌 <minecraft:warped_fungus>；原料：碗 <minecraft:bowl>",""
"kaleidoscope_cookery","kaleidoscope_cookery:chopping_board/sashimi_from_salmon","刺身","kaleidoscope_cookery:chopping_board","自定义工序（kaleidoscope_cookery:chopping_board）","刺身","kaleidoscope_cookery:sashimi","2","是","1","1","","","","原料：生鲑鱼 <minecraft:salmon>",""
"farmersdelight","farmersdelight:canvas_from_canvas_rug","粗布","minecraft:crafting_shapeless","工作台（无序合成）","粗布","farmersdelight:canvas","1","否","","","","","","原料：粗布毯 <farmersdelight:canvas_rug>；原料：粗布毯 <farmersdelight:canvas_rug>",""
"farmersdelight","farmersdelight:cooked_bacon_from_smoking","熟培根","minecraft:smoking","烟熏炉","熟培根","farmersdelight:cooked_bacon","1","是","4","6.4","","0.35","100","原料：生培根 <farmersdelight:bacon>",""
"spawn","spawn:algal_reefstone_stairs_from_algal_reefstone_stonecutting","藻礁石楼梯","minecraft:stonecutting","自定义工序（minecraft:stonecutting）","藻礁石楼梯","spawn:algal_reefstone_stairs","1","否","","","","","","原料：藻礁石 <spawn:algal_reefstone>",""
"farmersdelight","farmersdelight:green_canvas_sign","绿色粗布告示牌","minecraft:crafting_shapeless","工作台（无序合成）","绿色粗布告示牌","farmersdelight:green_canvas_sign","1","否","","","","","","原料：#farmersdelight:canvas_signs；原料：#c:dyes/green",""
"farmersdelight","farmersdelight:salvaging/birch_furniture","白桦木板","farmersdelight:cutting","切菜板","白桦木板","minecraft:birch_planks","1","否","","","","","","原料：{""type"":""neoforge:compound"",""children"":[{""item"":""minecraft:birch_door""},{""item"":""minecraft:birch_trapdoor""},{""item"":""minecraft:birch_sign""},{""item"":""minecraft:birch_hanging_sign""},{""item"":""minecraft:birch_fence""},{""item"":""minecraft:birch_fence_gate""},{""item"":""minecraft:birch_pressure_plate""},{""item"":""minecraft:birch_button""},{""item"":""minecraft:birch_boat""},{""item"":""farmersdelight:birch_cabinet""}]}；工具：{""type"":""farmersdelight:item_ability"",""action"":""axe_dig""}；工具：#minecraft:axes",""
"farmersdelight","farmersdelight:light_gray_hanging_canvas_sign","悬挂式淡灰色粗布告示牌","minecraft:crafting_shapeless","工作台（无序合成）","悬挂式淡灰色粗布告示牌","farmersdelight:light_gray_hanging_canvas_sign","1","否","","","","","","原料：#farmersdelight:hanging_canvas_signs；原料：#c:dyes/light_gray",""
"spawn","spawn:steamed_clams","蒸蚌汉堡","minecraft:crafting_shapeless","工作台（无序合成）","蒸蚌汉堡","spawn:steamed_clams","1","是","11","17.6","","","","原料：#c:foods/bread；原料：熟蚌肉 <spawn:cooked_clam>；原料：熟蚌肉 <spawn:cooked_clam>；原料：#c:foods/cabbage；原料：#c:crops/tomato；原料：#c:crops/onion",""
"spawn","spawn:salvaging/date_furniture","椰枣木木板","farmersdelight:cutting","切菜板","椰枣木木板","spawn:date_planks","1","否","","","","","","原料：{""type"":""neoforge:compound"",""children"":[{""item"":""spawn:date_door""},{""item"":""spawn:date_trapdoor""},{""item"":""spawn:date_sign""},{""item"":""spawn:date_hanging_sign""},{""item"":""spawn:date_fence""},{""item"":""spawn:date_fence_gate""},{""item"":""spawn:date_pressure_plate""},{""item"":""spawn:date_button""},{""item"":""spawn:date_raft""}]}；工具：{""type"":""farmersdelight:item_ability"",""action"":""axe_dig""}；工具：#minecraft:axes",""
"farmersdelight","farmersdelight:cooked_bacon_from_campfire_cooking","熟培根","minecraft:campfire_cooking","营火","熟培根","farmersdelight:cooked_bacon","1","是","4","6.4","","0.35","600","原料：生培根 <farmersdelight:bacon>",""
"farmersdelight","farmersdelight:cooking/mushroom_rice","蘑菇饭","farmersdelight:cooking","烹饪锅","蘑菇饭","farmersdelight:mushroom_rice","1","是","12","19.2","滋养 3600tick 1级 概率1","","","原料：棕色蘑菇 <minecraft:brown_mushroom>；原料：红色蘑菇 <minecraft:red_mushroom>；原料：#c:crops/rice；原料：{""type"":""neoforge:compound"",""children"":[{""item"":""minecraft:carrot""},{""item"":""minecraft:potato""}]}",""
"kaleidoscope_cookery","kaleidoscope_cookery:qingtuan_plate","一盘青团","minecraft:crafting_shapeless","工作台（无序合成）","一盘青团","kaleidoscope_cookery:qingtuan_plate","1","否","","","","","","原料：青团 <kaleidoscope_cookery:qingtuan>；原料：青团 <kaleidoscope_cookery:qingtuan>；原料：青团 <kaleidoscope_cookery:qingtuan>；原料：青团 <kaleidoscope_cookery:qingtuan>；原料：碗 <minecraft:bowl>",""
"kaleidoscope_cookery","kaleidoscope_cookery:desert_style_sashimi","沙漠风味刺身","minecraft:crafting_shapeless","工作台（无序合成）","沙漠风味刺身","kaleidoscope_cookery:desert_style_sashimi","1","是","16","6","芥末 6000tick 1级 概率1","","","原料：仙人掌 <minecraft:cactus>；原料：仙人掌 <minecraft:cactus>；原料：刺身 <kaleidoscope_cookery:sashimi>；原料：刺身 <kaleidoscope_cookery:sashimi>；原料：刺身 <kaleidoscope_cookery:sashimi>；原料：刺身 <kaleidoscope_cookery:sashimi>；原料：碗 <minecraft:bowl>",""
"farmersdelight","farmersdelight:food_serving","","farmersdelight:food_serving","自定义工序（farmersdelight:food_serving）","","","","否","","","","","","","此配方没有固定产物，或产物需由容器/上下文决定。"
"farmersdelight","farmersdelight:salvaging/oak_furniture","橡木木板","farmersdelight:cutting","切菜板","橡木木板","minecraft:oak_planks","1","否","","","","","","原料：{""type"":""neoforge:compound"",""children"":[{""item"":""minecraft:oak_door""},{""item"":""minecraft:oak_trapdoor""},{""item"":""minecraft:oak_sign""},{""item"":""minecraft:oak_hanging_sign""},{""item"":""minecraft:oak_fence""},{""item"":""minecraft:oak_fence_gate""},{""item"":""minecraft:oak_pressure_plate""},{""item"":""minecraft:oak_button""},{""item"":""minecraft:oak_boat""},{""item"":""farmersdelight:oak_cabinet""}]}；工具：{""type"":""farmersdelight:item_ability"",""action"":""axe_dig""}；工具：#minecraft:axes",""
"farmersdelight","farmersdelight:cooked_cod_slice","熟鳕鱼片","minecraft:smelting","熔炉","熟鳕鱼片","farmersdelight:cooked_cod_slice","1","是","3","3","","0.35","200","原料：生鳕鱼片 <farmersdelight:cod_slice>",""
"spawn","spawn:red_algae_carpet","覆地红藻","minecraft:crafting_shaped","工作台（有序合成）","覆地红藻","spawn:red_algae_carpet","3","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:integration/create/milling/rice_panicle","稻米","create:milling","自定义工序（create:milling）","稻米","kaleidoscope_cookery:rice","1","否","","","","","","原料：稻米穗 <farmersdelight:rice_panicle>",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/string_from_purple_wool","线","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","线","minecraft:string","3","否","","","","","","原料：紫色羊毛 <minecraft:purple_wool>",""
"farmersdelight","farmersdelight:cutting_board","砧板","minecraft:crafting_shaped","工作台（有序合成）","砧板","farmersdelight:cutting_board","1","否","","","","","","原料：屏障 <minecraft:barrier>",""
"spawn","spawn:date_seed","椰枣种子","minecraft:crafting_shapeless","工作台（无序合成）","椰枣种子","spawn:date_seed","1","否","","","","","","原料：椰枣 <spawn:dates>",""
"spawn","spawn:canned_herring","鲱鱼罐头","minecraft:crafting_shaped","工作台（有序合成）","鲱鱼罐头","spawn:canned_herring","1","是","3","1.8000001","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:cook_stool_oak","橡木厨娘凳","minecraft:crafting_shaped","工作台（有序合成）","橡木厨娘凳","kaleidoscope_cookery:cook_stool_oak","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/beef_noodle","牛肉面","kaleidoscope_cookery:stockpot","万花筒汤锅","牛肉面","kaleidoscope_cookery:beef_noodle","1","是","14","18.004","生机 9600tick 1级 概率1","","","原料：#c:foods/raw_beef；原料：#c:foods/raw_beef；原料：#c:foods/raw_beef；原料：#c:foods/raw_beef；原料：生面条 <kaleidoscope_cookery:raw_noodles>；原料：生面条 <kaleidoscope_cookery:raw_noodles>；原料：生面条 <kaleidoscope_cookery:raw_noodles>",""
"farmersdelight","farmersdelight:integration/create/mixing/tomato_sauce_from_mixing","番茄酱","create:mixing","搅拌盆","番茄酱","farmersdelight:tomato_sauce","1","是","4","3.2","","","","原料：#c:crops/tomato；原料：#c:crops/tomato；原料：碗 <minecraft:bowl>",""
"farmersdelight","farmersdelight:cake_from_slices","蛋糕","minecraft:crafting_shapeless","工作台（无序合成）","蛋糕","minecraft:cake","1","否","","","","","","原料：蛋糕切片 <farmersdelight:cake_slice>；原料：蛋糕切片 <farmersdelight:cake_slice>；原料：蛋糕切片 <farmersdelight:cake_slice>；原料：蛋糕切片 <farmersdelight:cake_slice>；原料：蛋糕切片 <farmersdelight:cake_slice>；原料：蛋糕切片 <farmersdelight:cake_slice>；原料：蛋糕切片 <farmersdelight:cake_slice>",""
"spawn","spawn:date_cookie","椰枣曲奇","minecraft:crafting_shaped","工作台（有序合成）","椰枣曲奇","spawn:date_cookie","4","是","2","1.2","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"farmersdelight","farmersdelight:roasted_mutton_chops","烤羊排","minecraft:crafting_shapeless","工作台（无序合成）","烤羊排","farmersdelight:roasted_mutton_chops","1","是","14","21","滋养 6000tick 1级 概率1","","","原料：熟羊排 <farmersdelight:cooked_mutton_chops>；原料：#c:crops/beetroot；原料：碗 <minecraft:bowl>；原料：米饭 <farmersdelight:cooked_rice>；原料：#c:crops/tomato",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_pot/dongpo_pork","东坡肉","kaleidoscope_cookery:flex_pot","自定义工序（kaleidoscope_cookery:flex_pot）","东坡肉","kaleidoscope_cookery:dongpo_pork","1","是","20","22","饱腹代偿 1600tick 1级 概率1","","","原料：#c:foods/raw_pork；原料：竹子 <minecraft:bamboo>；容器/载体：碗 <minecraft:bowl>",""
"farmersdelight","farmersdelight:cabbage_crate","箱装卷心菜","minecraft:crafting_shaped","工作台（有序合成）","箱装卷心菜","farmersdelight:cabbage_crate","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"spawn","spawn:cooking/clam_chowder","蚌肉浓汤","farmersdelight:cooking","烹饪锅","蚌肉浓汤","spawn:clam_chowder","1","是","8","12.8","","","","原料：熟蚌肉 <spawn:cooked_clam>；原料：马铃薯 <minecraft:potato>；原料：奶瓶 <farmersdelight:milk_bottle>",""
"farmersdelight","farmersdelight:half_tatami_mat","短榻榻米垫","minecraft:crafting_shapeless","工作台（无序合成）","短榻榻米垫","farmersdelight:half_tatami_mat","2","否","","","","","","原料：长榻榻米垫 <farmersdelight:full_tatami_mat>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/rabbit_to_cooked_rabbit_1","熟兔肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟兔肉","minecraft:cooked_rabbit","1","是","5","6","","","","原料：生兔肉 <minecraft:rabbit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/rabbit_to_cooked_rabbit_9","熟兔肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟兔肉","minecraft:cooked_rabbit","9","是","5","6","","","","原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/rabbit_to_cooked_rabbit_8","熟兔肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟兔肉","minecraft:cooked_rabbit","8","是","5","6","","","","原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/rabbit_to_cooked_rabbit_7","熟兔肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟兔肉","minecraft:cooked_rabbit","7","是","5","6","","","","原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/rabbit_to_cooked_rabbit_6","熟兔肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟兔肉","minecraft:cooked_rabbit","6","是","5","6","","","","原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/rabbit_to_cooked_rabbit_5","熟兔肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟兔肉","minecraft:cooked_rabbit","5","是","5","6","","","","原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/rabbit_to_cooked_rabbit_4","熟兔肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟兔肉","minecraft:cooked_rabbit","4","是","5","6","","","","原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/rabbit_to_cooked_rabbit_3","熟兔肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟兔肉","minecraft:cooked_rabbit","3","是","5","6","","","","原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>",""
"kaleidoscope_cookery","kaleidoscope_cookery:pot/rabbit_to_cooked_rabbit_2","熟兔肉","kaleidoscope_cookery:pot","自定义工序（kaleidoscope_cookery:pot）","熟兔肉","minecraft:cooked_rabbit","2","是","5","6","","","","原料：生兔肉 <minecraft:rabbit>；原料：生兔肉 <minecraft:rabbit>",""
"spawn","spawn:clam_case_white","白色蚌盒","minecraft:crafting_shaped","工作台（有序合成）","白色蚌盒","spawn:clam_case_white","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_stockpot/beef_meatball_soup","牛丸汤","kaleidoscope_cookery:flex_stockpot","自定义工序（kaleidoscope_cookery:flex_stockpot）","牛丸汤","kaleidoscope_cookery:beef_meatball_soup","1","是","6","8.004","温暖 9600tick 1级 概率1","","","原料：生丸子 <kaleidoscope_cookery:raw_meatball>；原料：#c:crops/lettuce",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/string_from_green_wool","线","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","线","minecraft:string","3","否","","","","","","原料：绿色羊毛 <minecraft:green_wool>",""
"farmersdelight","farmersdelight:cooking/cabbage_rolls","卷心菜卷","farmersdelight:cooking","烹饪锅","卷心菜卷","farmersdelight:cabbage_rolls","1","是","5","5","","","","原料：#c:crops/cabbage；原料：{""type"":""neoforge:compound"",""children"":[{""tag"":""c:foods/raw_meat""},{""tag"":""c:foods/safe_raw_fish""},{""tag"":""c:foods/vegetable""},{""tag"":""c:mushrooms""}]}",""
"farmersdelight","farmersdelight:mutton_wrap","羊肉卷饼","minecraft:crafting_shapeless","工作台（无序合成）","羊肉卷饼","farmersdelight:mutton_wrap","1","是","10","16","","","","原料：#c:foods/bread；原料：#c:foods/cooked_mutton；原料：#c:foods/leafy_green；原料：#c:crops/onion",""
"spawn","spawn:reefstone_tile_stairs","礁石楼梯","minecraft:crafting_shaped","工作台（有序合成）","礁石楼梯","spawn:reefstone_tile_stairs","4","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"spawn","spawn:bone_meal_from_snail_shell","骨粉","minecraft:crafting_shapeless","工作台（无序合成）","骨粉","minecraft:bone_meal","4","否","","","","","","原料：蜗牛壳 <spawn:snail_shell>",""
"kaleidoscope_cookery","kaleidoscope_cookery:flex_pot/spicy_chicken","辣子鸡","kaleidoscope_cookery:flex_pot","自定义工序（kaleidoscope_cookery:flex_pot）","辣子鸡","kaleidoscope_cookery:spicy_chicken","1","是","20","22","饱腹代偿 1600tick 1级 概率1","","","原料：#c:foods/raw_chicken；原料：#c:crops/chilipepper；容器/载体：碗 <minecraft:bowl>",""
"farmersdelight","farmersdelight:safety_net","安全网","minecraft:crafting_shaped","工作台（有序合成）","安全网","farmersdelight:safety_net","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"spawn","spawn:blue_dye_from_booby_egg_shard","蓝色染料","minecraft:crafting_shapeless","工作台（无序合成）","蓝色染料","minecraft:blue_dye","4","否","","","","","","原料：鲣鸟蛋壳 <spawn:booby_egg_shard>",""
"farmersdelight","farmersdelight:wheat_dough_from_egg","生面团","minecraft:crafting_shapeless","工作台（无序合成）","生面团","kaleidoscope_cookery:raw_dough","3","否","","","","","","原料：#c:crops/wheat；原料：#c:crops/wheat；原料：#c:crops/wheat；原料：#c:eggs",""
"spawn","spawn:algal_reefstone","藻礁石","minecraft:crafting_shapeless","工作台（无序合成）","藻礁石","spawn:algal_reefstone","1","否","","","","","","原料：礁石 <spawn:reefstone>；原料：红藻块 <spawn:red_algae_block>",""
"kaleidoscope_cookery","kaleidoscope_cookery:teapot/oolong","乌龙茶","kaleidoscope_cookery:teapot","自定义工序（kaleidoscope_cookery:teapot）","乌龙茶","kaleidoscope_cookery:oolong","1","否","","","","","","原料：龙息 <minecraft:dragon_breath>",""
"spawn","spawn:snail_shell_from_big_snail_shell","蜗牛壳","minecraft:crafting_shapeless","工作台（无序合成）","蜗牛壳","spawn:snail_shell","9","否","","","","","","原料：大蜗牛壳 <spawn:big_snail_shell>",""
"farmersdelight","farmersdelight:cutting/orange_tulip","橙色染料","farmersdelight:cutting","切菜板","橙色染料","minecraft:orange_dye","2","否","","","","","","原料：橙色郁金香 <minecraft:orange_tulip>；工具：{""type"":""farmersdelight:item_ability"",""action"":""knife_dig""}；工具：#c:tools/knife",""
"kaleidoscope_cookery","kaleidoscope_cookery:teapot","茶壶","minecraft:crafting_shaped","工作台（有序合成）","茶壶","kaleidoscope_cookery:teapot","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/white_dye_from_lily_of_the_valley","白色染料","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","白色染料","minecraft:white_dye","2","否","","","","","","原料：铃兰 <minecraft:lily_of_the_valley>",""
"spawn","spawn:date_planks","椰枣木木板","minecraft:crafting_shapeless","工作台（无序合成）","椰枣木木板","spawn:date_planks","4","否","","","","","","原料：#spawn:date_logs",""
"farmersdelight","farmersdelight:cooking/beetroot_soup","甜菜汤","farmersdelight:cooking","烹饪锅","甜菜汤","minecraft:beetroot_soup","1","是","6","7.2000003","","","","原料：#c:crops/beetroot；原料：#c:crops/beetroot；原料：#c:crops/beetroot",""
"kaleidoscope_cookery","kaleidoscope_cookery:millstone/smooth_sandstone_from_sandstone","平滑砂岩","kaleidoscope_cookery:millstone","自定义工序（kaleidoscope_cookery:millstone）","平滑砂岩","minecraft:smooth_sandstone","1","否","","","","","","原料：砂岩 <minecraft:sandstone>",""
"farmersdelight","farmersdelight:cutting/bamboo_block","去皮竹块","farmersdelight:cutting","切菜板","去皮竹块","minecraft:stripped_bamboo_block","1","否","","","","","","原料：竹块 <minecraft:bamboo_block>；工具：{""type"":""farmersdelight:item_ability"",""action"":""axe_strip""}；工具：#minecraft:axes",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/zongzi_count_4","熟粽子","kaleidoscope_cookery:stockpot","万花筒汤锅","熟粽子","kaleidoscope_cookery:zongzi","4","是","8","10","生命恢复 400tick 1级 概率1","","","原料：生粽子 <kaleidoscope_cookery:raw_zongzi>；原料：生粽子 <kaleidoscope_cookery:raw_zongzi>；原料：生粽子 <kaleidoscope_cookery:raw_zongzi>；原料：生粽子 <kaleidoscope_cookery:raw_zongzi>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/zongzi_count_5","熟粽子","kaleidoscope_cookery:stockpot","万花筒汤锅","熟粽子","kaleidoscope_cookery:zongzi","5","是","8","10","生命恢复 400tick 1级 概率1","","","原料：生粽子 <kaleidoscope_cookery:raw_zongzi>；原料：生粽子 <kaleidoscope_cookery:raw_zongzi>；原料：生粽子 <kaleidoscope_cookery:raw_zongzi>；原料：生粽子 <kaleidoscope_cookery:raw_zongzi>；原料：生粽子 <kaleidoscope_cookery:raw_zongzi>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/zongzi_count_2","熟粽子","kaleidoscope_cookery:stockpot","万花筒汤锅","熟粽子","kaleidoscope_cookery:zongzi","2","是","8","10","生命恢复 400tick 1级 概率1","","","原料：生粽子 <kaleidoscope_cookery:raw_zongzi>；原料：生粽子 <kaleidoscope_cookery:raw_zongzi>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/zongzi_count_3","熟粽子","kaleidoscope_cookery:stockpot","万花筒汤锅","熟粽子","kaleidoscope_cookery:zongzi","3","是","8","10","生命恢复 400tick 1级 概率1","","","原料：生粽子 <kaleidoscope_cookery:raw_zongzi>；原料：生粽子 <kaleidoscope_cookery:raw_zongzi>；原料：生粽子 <kaleidoscope_cookery:raw_zongzi>",""
"kaleidoscope_cookery","kaleidoscope_cookery:stockpot/zongzi_count_1","熟粽子","kaleidoscope_cookery:stockpot","万花筒汤锅","熟粽子","kaleidoscope_cookery:zongzi","1","是","8","10","生命恢复 400tick 1级 概率1","","","原料：生粽子 <kaleidoscope_cookery:raw_zongzi>",""
"farmersdelight","farmersdelight:onion_crate","箱装洋葱","minecraft:crafting_shaped","工作台（有序合成）","箱装洋葱","farmersdelight:onion_crate","1","否","","","","","","[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]；[空原料或模组自定义参数]",""
