配方ID,产物,数量,机器,原料,附加参数
sweet_berry_cheesecake,甜浆果芝士派(farmersdelight:sweet_berry_cheesecake),1,工作台,甜浆果(minecraft:sweet_berries)×6 + 奶(#c:drinks/milk)×2 + 馅饼酥皮(farmersdelight:pie_crust),
sweet_berry_cheesecake_from_slices,甜浆果芝士派(farmersdelight:sweet_berry_cheesecake),1,工作台,甜浆果芝士派切片(farmersdelight:sweet_berry_cheesecake_slice)×4,
sweet_berry_cookie,甜浆果曲奇(farmersdelight:sweet_berry_cookie),8,工作台,甜浆果(minecraft:sweet_berries) + 小麦(#c:crops/wheat) + 小麦(#c:crops/wheat),
tatami,榻榻米方块(farmersdelight:tatami),2,工作台,粗布(farmersdelight:canvas)×2 + 草秆(farmersdelight:straw)×2,
tatami_block_from_full,榻榻米方块(farmersdelight:tatami),1,工作台,长榻榻米垫(farmersdelight:full_tatami_mat) + 长榻榻米垫(farmersdelight:full_tatami_mat),
tomato,番茄(farmersdelight:tomato),9,工作台,箱装番茄(farmersdelight:tomato_crate),
tomato_crate,箱装番茄(farmersdelight:tomato_crate),1,工作台,番茄(farmersdelight:tomato)×9,
tomato_seeds,番茄种子(farmersdelight:tomato_seeds),1,工作台,任选其一:[番茄(farmersdelight:tomato) | 烂番茄(farmersdelight:rotten_tomato)],
warped_cabinet,诡异木橱柜(farmersdelight:warped_cabinet),1,工作台,诡异木台阶(minecraft:warped_slab)×6 + 诡异木活板门(minecraft:warped_trapdoor)×2,
wheat_dough_from_egg,面团(farmersdelight:wheat_dough),3,工作台,小麦(#c:crops/wheat) + 小麦(#c:crops/wheat) + 小麦(#c:crops/wheat) + 蛋(#c:eggs),
wheat_dough_from_water,{},1,面团机制,,
white_canvas_sign,白色粗布告示牌(farmersdelight:white_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 白色染料(#c:dyes/white),
white_hanging_canvas_sign,悬挂式白色粗布告示牌(farmersdelight:white_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 白色染料(#c:dyes/white),
wooden_basket,木篮(farmersdelight:wooden_basket),1,工作台,木棍(minecraft:stick)×4 + 粗布(farmersdelight:canvas)×3,
yellow_canvas_sign,黄色粗布告示牌(farmersdelight:yellow_canvas_sign),1,工作台,帆布告示牌(#farmersdelight:canvas_signs) + 黄色染料(#c:dyes/yellow),
yellow_hanging_canvas_sign,悬挂式黄色粗布告示牌(farmersdelight:yellow_hanging_canvas_sign),1,工作台,悬挂帆布告示牌(#farmersdelight:hanging_canvas_signs) + 黄色染料(#c:dyes/yellow),
apple_cider,苹果酒(farmersdelight:apple_cider),1,厨锅(置于炉灶上),苹果(minecraft:apple) + 苹果(minecraft:apple) + 糖(minecraft:sugar),200刻; 经验1.0
baked_cod_stew,烘焙鳕鱼炖(farmersdelight:baked_cod_stew),1,厨锅(置于炉灶上),生鳕鱼(#c:foods/raw_cod) + 马铃薯(#c:crops/potato) + 蛋(#c:eggs) + 番茄(#c:crops/tomato),200刻; 经验1.0
beef_stew,牛肉炖(farmersdelight:beef_stew),1,厨锅(置于炉灶上),生牛肉(#c:foods/raw_beef) + 胡萝卜(#c:crops/carrot) + 马铃薯(#c:crops/potato),200刻; 经验1.0
beetroot_soup,甜菜汤(minecraft:beetroot_soup),1,厨锅(置于炉灶上),甜菜根(#c:crops/beetroot) + 甜菜根(#c:crops/beetroot) + 甜菜根(#c:crops/beetroot),200刻; 经验1.0
bone_broth,大骨汤(farmersdelight:bone_broth),1,厨锅(置于炉灶上),骨头(#c:bones) + 任选其一:[发光浆果(minecraft:glow_berries) | 蘑菇(#c:mushrooms) | 垂根(minecraft:hanging_roots) | 发光地衣(minecraft:glow_lichen)],200刻; 经验0.35
cabbage_rolls,卷心菜卷(farmersdelight:cabbage_rolls),1,厨锅(置于炉灶上),卷心菜(#c:crops/cabbage) + 任选其一:[生肉(#c:foods/raw_meat) | 安全生鱼(不含河豚)(#c:foods/safe_raw_fish) | 蔬菜(#c:foods/vegetable) | 蘑菇(#c:mushrooms)],100刻; 经验0.35
chicken_soup,鸡肉汤(farmersdelight:chicken_soup),1,厨锅(置于炉灶上),生鸡肉(#c:foods/raw_chicken) + 胡萝卜(#c:crops/carrot) + 绿叶菜(#c:foods/leafy_green) + 蔬菜(#c:foods/vegetable)(除西瓜片(minecraft:melon_slice)),200刻; 经验1.0
cooked_rice,米饭(farmersdelight:cooked_rice),1,厨锅(置于炉灶上),稻米(#c:crops/rice),100刻; 经验0.35
dog_food,狗粮(farmersdelight:dog_food),1,厨锅(置于炉灶上),腐肉(minecraft:rotten_flesh) + 骨粉(minecraft:bone_meal) + 生肉(#c:foods/raw_meat) + 稻米(#c:crops/rice),200刻; 经验1.0
dumplings,饺子(farmersdelight:dumplings),2,厨锅(置于炉灶上),面团(#c:foods/dough) + 卷心菜(#c:crops/cabbage) + 洋葱(#c:crops/onion) + 任选其一:[生鸡肉(#c:foods/raw_chicken) | 生猪排(#c:foods/raw_pork) | 生牛肉(#c:foods/raw_beef) | 棕色蘑菇(minecraft:brown_mushroom)],200刻; 经验1.0
fish_stew,鱼肉炖(farmersdelight:fish_stew),1,厨锅(置于炉灶上),安全生鱼(不含河豚)(#c:foods/safe_raw_fish) + 番茄酱(farmersdelight:tomato_sauce) + 洋葱(#c:crops/onion),200刻; 经验1.0
fried_rice,炒饭(farmersdelight:fried_rice),1,厨锅(置于炉灶上),稻米(#c:crops/rice) + 蛋(#c:eggs) + 胡萝卜(#c:crops/carrot) + 洋葱(#c:crops/onion),200刻; 经验1.0
glow_berry_custard,发光浆果蛋奶沙司(farmersdelight:glow_berry_custard),1,厨锅(置于炉灶上),发光浆果(minecraft:glow_berries) + 奶(#c:drinks/milk) + 蛋(#c:eggs) + 糖(minecraft:sugar),200刻; 经验1.0
hot_cocoa,热可可(farmersdelight:hot_cocoa),1,厨锅(置于炉灶上),奶(#c:drinks/milk) + 糖(minecraft:sugar) + 可可豆(minecraft:cocoa_beans) + 可可豆(minecraft:cocoa_beans),200刻; 经验1.0
mushroom_rice,蘑菇饭(farmersdelight:mushroom_rice),1,厨锅(置于炉灶上),棕色蘑菇(minecraft:brown_mushroom) + 红色蘑菇(minecraft:red_mushroom) + 稻米(#c:crops/rice) + 任选其一:[胡萝卜(minecraft:carrot) | 马铃薯(minecraft:potato)],200刻; 经验1.0
mushroom_stew,蘑菇煲(minecraft:mushroom_stew),1,厨锅(置于炉灶上),棕色蘑菇(minecraft:brown_mushroom) + 红色蘑菇(minecraft:red_mushroom),200刻; 经验1.0
noodle_soup,面条汤(farmersdelight:noodle_soup),1,厨锅(置于炉灶上),意面(#c:foods/pasta) + 蛋(#c:eggs) + 干海带(minecraft:dried_kelp) + 生猪排(#c:foods/raw_pork),200刻; 经验1.0
onion_soup,洋葱汤(farmersdelight:onion_soup),1,厨锅(置于炉灶上),洋葱(#c:crops/onion) + 洋葱(#c:crops/onion) + 面包(#c:foods/bread) + 奶(#c:drinks/milk),200刻; 经验1.0
pasta_with_meatballs,肉丸意面(farmersdelight:pasta_with_meatballs),1,厨锅(置于炉灶上),牛肉馅(farmersdelight:minced_beef) + 意面(#c:foods/pasta) + 番茄酱(farmersdelight:tomato_sauce),200刻; 经验1.0
pasta_with_mutton_chop,羊排意面(farmersdelight:pasta_with_mutton_chop),1,厨锅(置于炉灶上),生羊肉(#c:foods/raw_mutton) + 意面(#c:foods/pasta) + 番茄酱(farmersdelight:tomato_sauce),200刻; 经验1.0
pumpkin_soup,南瓜汤(farmersdelight:pumpkin_soup),1,厨锅(置于炉灶上),南瓜片(farmersdelight:pumpkin_slice) + 绿叶菜(#c:foods/leafy_green) + 生猪排(#c:foods/raw_pork) + 奶(#c:drinks/milk),200刻; 经验1.0
rabbit_stew,兔肉煲(minecraft:rabbit_stew),1,厨锅(置于炉灶上),马铃薯(#c:crops/potato) + 生兔肉(minecraft:rabbit) + 胡萝卜(#c:crops/carrot) + 任选其一:[棕色蘑菇(minecraft:brown_mushroom) | 红色蘑菇(minecraft:red_mushroom)],200刻; 经验1.0
ratatouille,蔬菜杂烩(farmersdelight:ratatouille),1,厨锅(置于炉灶上),番茄(#c:crops/tomato) + 洋葱(#c:crops/onion) + 甜菜根(#c:crops/beetroot) + 蔬菜(#c:foods/vegetable)(除西瓜片(minecraft:melon_slice)),200刻; 经验1.0
squid_ink_pasta,鱿鱼墨面(farmersdelight:squid_ink_pasta),1,厨锅(置于炉灶上),安全生鱼(不含河豚)(#c:foods/safe_raw_fish) + 意面(#c:foods/pasta) + 番茄(#c:crops/tomato) + 墨囊(minecraft:ink_sac),200刻; 经验1.0
stuffed_pumpkin_block,填馅南瓜(farmersdelight:stuffed_pumpkin_block),1,厨锅(置于炉灶上),稻米(#c:crops/rice) + 洋葱(#c:crops/onion) + 棕色蘑菇(minecraft:brown_mushroom) + 马铃薯(#c:crops/potato) + 浆果(#c:foods/berry) + 蔬菜(#c:foods/vegetable)(除西瓜片(minecraft:melon_slice)),400刻; 经验2.0
tomato_sauce,番茄酱(farmersdelight:tomato_sauce),1,厨锅(置于炉灶上),番茄(#c:crops/tomato) + 番茄(#c:crops/tomato),100刻; 经验0.35
vegetable_noodles,蔬菜面(farmersdelight:vegetable_noodles),1,厨锅(置于炉灶上),胡萝卜(#c:crops/carrot) + 蘑菇(#c:mushrooms) + 意面(#c:foods/pasta) + 绿叶菜(#c:foods/leafy_green) + 蔬菜(#c:foods/vegetable)(除西瓜片(minecraft:melon_slice)),200刻; 经验1.0
vegetable_soup,蔬菜汤(farmersdelight:vegetable_soup),1,厨锅(置于炉灶上),胡萝卜(#c:crops/carrot) + 马铃薯(#c:crops/potato) + 甜菜根(#c:crops/beetroot) + 绿叶菜(#c:foods/leafy_green),200刻; 经验1.0
acacia_log,去皮金合欢木原木(minecraft:stripped_acacia_log) + 树皮(farmersdelight:tree_bark),1,砧板,金合欢原木(minecraft:acacia_log),工具:斧(剥皮)或斧(#minecraft:axes)
acacia_wood,去皮金合欢木(minecraft:stripped_acacia_wood) + 树皮(farmersdelight:tree_bark),1,砧板,金合欢木(minecraft:acacia_wood),工具:斧(剥皮)或斧(#minecraft:axes)
allium,品红色染料(minecraft:magenta_dye),2,砧板,绒球葱(minecraft:allium),工具:knife_dig或刀(#c:tools/knife)
apple_pie,苹果派切片(farmersdelight:apple_pie_slice),4,砧板,苹果派(farmersdelight:apple_pie),工具:knife_dig或刀(#c:tools/knife)
azure_bluet,淡灰色染料(minecraft:light_gray_dye),2,砧板,蓝花美耳草(minecraft:azure_bluet),工具:knife_dig或刀(#c:tools/knife)
bamboo_basket,粗布(farmersdelight:canvas) + 竹子(minecraft:bamboo),1,砧板,竹篮(farmersdelight:bamboo_basket),工具:斧或斧(#minecraft:axes)
bamboo_block,去皮竹块(minecraft:stripped_bamboo_block) + 草秆(farmersdelight:straw),1,砧板,竹块(minecraft:bamboo_block),工具:斧(剥皮)或斧(#minecraft:axes)
beef,牛肉馅(farmersdelight:minced_beef),2,砧板,生牛肉(minecraft:beef),工具:knife_dig或刀(#c:tools/knife)
birch_log,去皮白桦木原木(minecraft:stripped_birch_log) + 树皮(farmersdelight:tree_bark),1,砧板,白桦原木(minecraft:birch_log),工具:斧(剥皮)或斧(#minecraft:axes)
birch_wood,去皮白桦木(minecraft:stripped_birch_wood) + 树皮(farmersdelight:tree_bark),1,砧板,白桦木(minecraft:birch_wood),工具:斧(剥皮)或斧(#minecraft:axes)
blue_orchid,淡蓝色染料(minecraft:light_blue_dye),2,砧板,兰花(minecraft:blue_orchid),工具:knife_dig或刀(#c:tools/knife)
brown_mushroom_colony,棕色蘑菇(minecraft:brown_mushroom),5,砧板,棕色蘑菇菌落(farmersdelight:brown_mushroom_colony),工具:knife_dig或刀(#c:tools/knife)
cabbage,卷心菜叶(farmersdelight:cabbage_leaf),2,砧板,卷心菜(farmersdelight:cabbage),工具:knife_dig或刀(#c:tools/knife)
cake,蛋糕切片(farmersdelight:cake_slice),7,砧板,蛋糕(minecraft:cake),工具:knife_dig或刀(#c:tools/knife)
cherry_log,去皮樱花木原木(minecraft:stripped_cherry_log) + 树皮(farmersdelight:tree_bark),1,砧板,樱花原木(minecraft:cherry_log),工具:斧(剥皮)或斧(#minecraft:axes)
cherry_wood,去皮樱花木(minecraft:stripped_cherry_wood) + 树皮(farmersdelight:tree_bark),1,砧板,樱花木(minecraft:cherry_wood),工具:斧(剥皮)或斧(#minecraft:axes)
chicken,生鸡肉丁(farmersdelight:chicken_cuts) + 骨粉(minecraft:bone_meal),2,砧板,生鸡肉(minecraft:chicken),工具:knife_dig或刀(#c:tools/knife)
chocolate_pie,巧克力派切片(farmersdelight:chocolate_pie_slice),4,砧板,巧克力派(farmersdelight:chocolate_pie),工具:knife_dig或刀(#c:tools/knife)
clay,黏土球(minecraft:clay_ball),4,砧板,黏土块(minecraft:clay),工具:锹或锹(#minecraft:shovels)
cod,生鳕鱼片(farmersdelight:cod_slice) + 骨粉(minecraft:bone_meal),2,砧板,生鳕鱼(minecraft:cod),工具:knife_dig或刀(#c:tools/knife)
cooked_chicken,熟鸡肉丁(farmersdelight:cooked_chicken_cuts) + 骨粉(minecraft:bone_meal),2,砧板,熟鸡肉(minecraft:cooked_chicken),工具:knife_dig或刀(#c:tools/knife)
cooked_cod,熟鳕鱼片(farmersdelight:cooked_cod_slice) + 骨粉(minecraft:bone_meal),2,砧板,熟鳕鱼(minecraft:cooked_cod),工具:knife_dig或刀(#c:tools/knife)
cooked_mutton,熟羊排(farmersdelight:cooked_mutton_chops),2,砧板,熟羊肉(minecraft:cooked_mutton),工具:knife_dig或刀(#c:tools/knife)
cooked_salmon,熟鲑鱼片(farmersdelight:cooked_salmon_slice) + 骨粉(minecraft:bone_meal),2,砧板,熟鲑鱼(minecraft:cooked_salmon),工具:knife_dig或刀(#c:tools/knife)
cornflower,蓝色染料(minecraft:blue_dye),2,砧板,矢车菊(minecraft:cornflower),工具:knife_dig或刀(#c:tools/knife)
crimson_hyphae,去皮绯红木菌核(minecraft:stripped_crimson_hyphae) + 树皮(farmersdelight:tree_bark),1,砧板,绯红菌核(minecraft:crimson_hyphae),工具:斧(剥皮)或斧(#minecraft:axes)
crimson_stem,去皮绯红木菌柄(minecraft:stripped_crimson_stem) + 树皮(farmersdelight:tree_bark),1,砧板,绯红菌柄(minecraft:crimson_stem),工具:斧(剥皮)或斧(#minecraft:axes)
dandelion,黄色染料(minecraft:yellow_dye),2,砧板,蒲公英(minecraft:dandelion),工具:knife_dig或刀(#c:tools/knife)
dark_oak_log,去皮深色橡木原木(minecraft:stripped_dark_oak_log) + 树皮(farmersdelight:tree_bark),1,砧板,深色橡木原木(minecraft:dark_oak_log),工具:斧(剥皮)或斧(#minecraft:axes)
dark_oak_wood,去皮深色橡木(minecraft:stripped_dark_oak_wood) + 树皮(farmersdelight:tree_bark),1,砧板,深色橡木(minecraft:dark_oak_wood),工具:斧(剥皮)或斧(#minecraft:axes)
gravel,砂砾(minecraft:gravel) + 燧石(minecraft:flint),1,砧板,砂砾(minecraft:gravel),工具:锹或锹(#minecraft:shovels)
ham,生猪排(minecraft:porkchop) + 骨头(minecraft:bone),2,砧板,火腿(farmersdelight:ham),工具:knife_dig或刀(#c:tools/knife)
ink_sac,黑色染料(minecraft:black_dye),2,砧板,墨囊(minecraft:ink_sac),工具:knife_dig或刀(#c:tools/knife)
jungle_log,去皮丛林木原木(minecraft:stripped_jungle_log) + 树皮(farmersdelight:tree_bark),1,砧板,丛林原木(minecraft:jungle_log),工具:斧(剥皮)或斧(#minecraft:axes)
jungle_wood,去皮丛林木(minecraft:stripped_jungle_wood) + 树皮(farmersdelight:tree_bark),1,砧板,丛林木(minecraft:jungle_wood),工具:斧(剥皮)或斧(#minecraft:axes)
kelp_roll,海带寿司(farmersdelight:kelp_roll_slice),3,砧板,海带寿司卷(farmersdelight:kelp_roll),工具:knife_dig或刀(#c:tools/knife)
lily_of_the_valley,白色染料(minecraft:white_dye),2,砧板,铃兰(minecraft:lily_of_the_valley),工具:knife_dig或刀(#c:tools/knife)
mangrove_log,去皮红树木原木(minecraft:stripped_mangrove_log) + 树皮(farmersdelight:tree_bark),1,砧板,红树木原木(minecraft:mangrove_log),工具:斧(剥皮)或斧(#minecraft:axes)
mangrove_wood,去皮红树木(minecraft:stripped_mangrove_wood) + 树皮(farmersdelight:tree_bark),1,砧板,红树木(minecraft:mangrove_wood),工具:斧(剥皮)或斧(#minecraft:axes)
melon,西瓜片(minecraft:melon_slice),9,砧板,西瓜(minecraft:melon),工具:knife_dig或刀(#c:tools/knife)
mutton,生羊排(farmersdelight:mutton_chops),2,砧板,生羊肉(minecraft:mutton),工具:knife_dig或刀(#c:tools/knife)
oak_log,去皮橡木原木(minecraft:stripped_oak_log) + 树皮(farmersdelight:tree_bark),1,砧板,橡木原木(minecraft:oak_log),工具:斧(剥皮)或斧(#minecraft:axes)
oak_wood,去皮橡木(minecraft:stripped_oak_wood) + 树皮(farmersdelight:tree_bark),1,砧板,橡木(minecraft:oak_wood),工具:斧(剥皮)或斧(#minecraft:axes)
orange_tulip,橙色染料(minecraft:orange_dye),2,砧板,橙色郁金香(minecraft:orange_tulip),工具:knife_dig或刀(#c:tools/knife)
oxeye_daisy,淡灰色染料(minecraft:light_gray_dye),2,砧板,滨菊(minecraft:oxeye_daisy),工具:knife_dig或刀(#c:tools/knife)
pink_tulip,粉红色染料(minecraft:pink_dye),2,砧板,粉色郁金香(minecraft:pink_tulip),工具:knife_dig或刀(#c:tools/knife)
poppy,红色染料(minecraft:red_dye),2,砧板,虞美人(minecraft:poppy),工具:knife_dig或刀(#c:tools/knife)
porkchop,生培根(farmersdelight:bacon),2,砧板,生猪排(minecraft:porkchop),工具:knife_dig或刀(#c:tools/knife)
pumpkin,南瓜片(farmersdelight:pumpkin_slice),4,砧板,南瓜(minecraft:pumpkin),工具:knife_dig或刀(#c:tools/knife)
pumpkin_pie,南瓜派切片(farmersdelight:pumpkin_pie_slice),4,砧板,南瓜派(minecraft:pumpkin_pie),工具:knife_dig或刀(#c:tools/knife)
red_mushroom_colony,红色蘑菇(minecraft:red_mushroom),5,砧板,红色蘑菇菌落(farmersdelight:red_mushroom_colony),工具:knife_dig或刀(#c:tools/knife)
red_tulip,红色染料(minecraft:red_dye),2,砧板,红色郁金香(minecraft:red_tulip),工具:knife_dig或刀(#c:tools/knife)
rice_panicle,稻米(farmersdelight:rice) + 草秆(farmersdelight:straw),1,砧板,稻米穗(farmersdelight:rice_panicle),工具:knife_dig或刀(#c:tools/knife)
salmon,生鲑鱼片(farmersdelight:salmon_slice) + 骨粉(minecraft:bone_meal),2,砧板,生鲑鱼(minecraft:salmon),工具:knife_dig或刀(#c:tools/knife)
smoked_ham,熟猪排(minecraft:cooked_porkchop) + 骨头(minecraft:bone),2,砧板,烟熏火腿(farmersdelight:smoked_ham),工具:knife_dig或刀(#c:tools/knife)
spruce_log,去皮云杉木原木(minecraft:stripped_spruce_log) + 树皮(farmersdelight:tree_bark),1,砧板,云杉原木(minecraft:spruce_log),工具:斧(剥皮)或斧(#minecraft:axes)
spruce_wood,去皮云杉木(minecraft:stripped_spruce_wood) + 树皮(farmersdelight:tree_bark),1,砧板,云杉木(minecraft:spruce_wood),工具:斧(剥皮)或斧(#minecraft:axes)
sweet_berry_cheesecake,甜浆果芝士派切片(farmersdelight:sweet_berry_cheesecake_slice),4,砧板,甜浆果芝士派(farmersdelight:sweet_berry_cheesecake),工具:knife_dig或刀(#c:tools/knife)
tag_dough,生意面(farmersdelight:raw_pasta),1,砧板,面团(#c:foods/dough),工具:knife_dig或刀(#c:tools/knife)
torchflower,橙色染料(minecraft:orange_dye),2,砧板,火把花(minecraft:torchflower),工具:knife_dig或刀(#c:tools/knife)
warped_hyphae,去皮诡异木菌核(minecraft:stripped_warped_hyphae) + 树皮(farmersdelight:tree_bark),1,砧板,诡异菌核(minecraft:warped_hyphae),工具:斧(剥皮)或斧(#minecraft:axes)
warped_stem,去皮诡异木菌柄(minecraft:stripped_warped_stem) + 树皮(farmersdelight:tree_bark),1,砧板,诡异菌柄(minecraft:warped_stem),工具:斧(剥皮)或斧(#minecraft:axes)
white_tulip,淡灰色染料(minecraft:light_gray_dye),2,砧板,白色郁金香(minecraft:white_tulip),工具:knife_dig或刀(#c:tools/knife)
wild_beetroots,甜菜种子(minecraft:beetroot_seeds) + 红色染料(minecraft:red_dye),1,砧板,海甜菜(farmersdelight:wild_beetroots),工具:knife_dig或刀(#c:tools/knife)
wild_cabbages,卷心菜种子(farmersdelight:cabbage_seeds) + 黄色染料(minecraft:yellow_dye),1,砧板,野生卷心菜(farmersdelight:wild_cabbages),工具:knife_dig或刀(#c:tools/knife)
wild_carrots,胡萝卜(minecraft:carrot) + 淡灰色染料(minecraft:light_gray_dye),1,砧板,野生胡萝卜(farmersdelight:wild_carrots),工具:knife_dig或刀(#c:tools/knife)
wild_onions,洋葱(farmersdelight:onion) + 品红色染料(minecraft:magenta_dye) + 黄绿色染料(minecraft:lime_dye),1,砧板,野生洋葱(farmersdelight:wild_onions),工具:knife_dig或刀(#c:tools/knife)
wild_potatoes,马铃薯(minecraft:potato) + 紫色染料(minecraft:purple_dye),1,砧板,野生马铃薯(farmersdelight:wild_potatoes),工具:knife_dig或刀(#c:tools/knife)
wild_rice,稻米(farmersdelight:rice) + 草秆(farmersdelight:straw),1,砧板,野生稻米(farmersdelight:wild_rice),工具:knife_dig或刀(#c:tools/knife)
wild_tomatoes,番茄种子(farmersdelight:tomato_seeds) + 番茄(farmersdelight:tomato) + 绿色染料(minecraft:green_dye),1,砧板,番茄灌木(farmersdelight:wild_tomatoes),工具:knife_dig或刀(#c:tools/knife)
wither_rose,黑色染料(minecraft:black_dye),2,砧板,凋灵玫瑰(minecraft:wither_rose),工具:knife_dig或刀(#c:tools/knife)
wooden_basket,粗布(farmersdelight:canvas) + 木棍(minecraft:stick),1,砧板,木篮(farmersdelight:wooden_basket),工具:斧或斧(#minecraft:axes)
acacia_chest_boat,金合欢木船(minecraft:acacia_boat) + 箱子(minecraft:chest),1,砧板,金合欢木储物船(minecraft:acacia_chest_boat),工具:锄或锄(#minecraft:hoes)
acacia_furniture,金合欢木板(minecraft:acacia_planks),1,砧板,任选其一:[金合欢木门(minecraft:acacia_door) | 金合欢木活板门(minecraft:acacia_trapdoor) | 金合欢木告示牌(minecraft:acacia_sign) | 金合欢木悬挂牌(minecraft:acacia_hanging_sign) | 金合欢木栅栏(minecraft:acacia_fence) | 金合欢木栅栏门(minecraft:acacia_fence_gate) | 金合欢木压力板(minecraft:acacia_pressure_plate) | 金合欢木按钮(minecraft:acacia_button) | 金合欢木船(minecraft:acacia_boat) | 金合欢木橱柜(farmersdelight:acacia_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%
amethyst_block,紫水晶碎片(minecraft:amethyst_shard),4,砧板,紫水晶块(minecraft:amethyst_block),工具:镐或镐(#minecraft:pickaxes)
bamboo_chest_raft,竹竹筏(minecraft:bamboo_raft) + 箱子(minecraft:chest),1,砧板,竹储物竹筏(minecraft:bamboo_chest_raft),工具:锄或锄(#minecraft:hoes)
bamboo_furniture,竹板(minecraft:bamboo_planks),1,砧板,任选其一:[竹门(minecraft:bamboo_door) | 竹活板门(minecraft:bamboo_trapdoor) | 竹告示牌(minecraft:bamboo_sign) | 竹悬挂牌(minecraft:bamboo_hanging_sign) | 竹栅栏(minecraft:bamboo_fence) | 竹栅栏门(minecraft:bamboo_fence_gate) | 竹压力板(minecraft:bamboo_pressure_plate) | 竹按钮(minecraft:bamboo_button) | 竹竹筏(minecraft:bamboo_raft) | 竹橱柜(farmersdelight:bamboo_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%
birch_chest_boat,白桦木船(minecraft:birch_boat) + 箱子(minecraft:chest),1,砧板,白桦木储物船(minecraft:birch_chest_boat),工具:锄或锄(#minecraft:hoes)
birch_furniture,白桦木板(minecraft:birch_planks),1,砧板,任选其一:[白桦木门(minecraft:birch_door) | 白桦木活板门(minecraft:birch_trapdoor) | 白桦木告示牌(minecraft:birch_sign) | 白桦木悬挂牌(minecraft:birch_hanging_sign) | 白桦木栅栏(minecraft:birch_fence) | 白桦木栅栏门(minecraft:birch_fence_gate) | 白桦木压力板(minecraft:birch_pressure_plate) | 白桦木按钮(minecraft:birch_button) | 白桦木船(minecraft:birch_boat) | 白桦木橱柜(farmersdelight:birch_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%
bricks,红砖(minecraft:brick),4,砧板,红砖块(minecraft:bricks),工具:镐或镐(#minecraft:pickaxes)
cherry_chest_boat,樱花木船(minecraft:cherry_boat) + 箱子(minecraft:chest),1,砧板,樱花木储物船(minecraft:cherry_chest_boat),工具:锄或锄(#minecraft:hoes)
cherry_furniture,樱花木板(minecraft:cherry_planks),1,砧板,任选其一:[樱花木门(minecraft:cherry_door) | 樱花木活板门(minecraft:cherry_trapdoor) | 樱花木告示牌(minecraft:cherry_sign) | 樱花木悬挂牌(minecraft:cherry_hanging_sign) | 樱花木栅栏(minecraft:cherry_fence) | 樱花木栅栏门(minecraft:cherry_fence_gate) | 樱花木压力板(minecraft:cherry_pressure_plate) | 樱花木按钮(minecraft:cherry_button) | 樱花木船(minecraft:cherry_boat) | 樱花木橱柜(farmersdelight:cherry_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%
chest_minecart,矿车(minecraft:minecart) + 箱子(minecraft:chest),1,砧板,箱子矿车(minecraft:chest_minecart),工具:锄或锄(#minecraft:hoes)
crimson_furniture,绯红木板(minecraft:crimson_planks),1,砧板,任选其一:[绯红木门(minecraft:crimson_door) | 绯红木活板门(minecraft:crimson_trapdoor) | 绯红木告示牌(minecraft:crimson_sign) | 绯红木悬挂牌(minecraft:crimson_hanging_sign) | 绯红木栅栏(minecraft:crimson_fence) | 绯红木栅栏门(minecraft:crimson_fence_gate) | 绯红木压力板(minecraft:crimson_pressure_plate) | 绯红木按钮(minecraft:crimson_button) | 绯红木橱柜(farmersdelight:crimson_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%
dark_oak_chest_boat,深色橡木船(minecraft:dark_oak_boat) + 箱子(minecraft:chest),1,砧板,深色橡木储物船(minecraft:dark_oak_chest_boat),工具:锄或锄(#minecraft:hoes)
dark_oak_furniture,深色橡木木板(minecraft:dark_oak_planks),1,砧板,任选其一:[深色橡木门(minecraft:dark_oak_door) | 深色橡木活板门(minecraft:dark_oak_trapdoor) | 深色橡木告示牌(minecraft:dark_oak_sign) | 深色橡木悬挂牌(minecraft:dark_oak_hanging_sign) | 深色橡木栅栏(minecraft:dark_oak_fence) | 深色橡木栅栏门(minecraft:dark_oak_fence_gate) | 深色橡木压力板(minecraft:dark_oak_pressure_plate) | 深色橡木按钮(minecraft:dark_oak_button) | 深色橡木船(minecraft:dark_oak_boat) | 深色橡木橱柜(farmersdelight:dark_oak_cabinet)],工具:斧或斧(#minecraft:axes); 掉落率75%
deepslate,深板岩圆石(minecraft:cobbled_deepslate),1,砧板,深板岩(minecraft:deepslate),工具:镐或镐(#minecraft:pickaxes)
furnace_minecart,矿车(minecraft:minecart) + 熔炉(minecraft:furnace),1,砧板,动力矿车(minecraft:furnace_minecart),工具:锄或锄(#minecraft:hoes)
hopper_minecart,矿车(minecraft:minecart) + minecraft:hopper,1,砧板,漏斗矿车(minecraft:hopper_minecart),工具:锄或锄(#minecraft:hoes)
jungle_chest_boat,丛林木船(minecraft:jungle_boat) + 箱子(minecraft:chest),1,砧板,丛林木储物船(minecraft:jungle_chest_boat),工具:锄或锄(#minecraft:hoes)
